"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"220"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election to the Bihar Legislative Assembly from the 230- Konch Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Round No. ……          11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"227"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"228"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"229"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"231"	"140"	""	"125"	""	""	"74"	""	""	""	"228"	""	""	""	"33"	""	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	"41"	""	""	""	""	""	"3"	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"141"	""	"61"	""	""	"8"	""	""	""	"102"	""	""	""	"39"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	"339"	""	""	""	""	""	"4"	""	""	""	""	""	""	"573"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"142"	""	"17"	""	""	"35"	""	""	""	"157"	""	""	""	"142"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	"143"	""	""	""	""	""	"6"	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"143"	""	"31"	""	""	"6"	""	""	""	"162"	""	""	""	"44"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"172"	""	""	""	""	""	"0"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"144"	""	"40"	""	""	"12"	""	""	""	"126"	""	""	""	"36"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"198"	""	""	""	""	""	"1"	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"145"	""	"11"	""	""	"44"	""	""	""	"178"	""	""	""	"49"	""	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"50"	""	""	""	""	""	"7"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"146"	""	"24"	""	""	"33"	""	""	""	"164"	""	""	""	"46"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"50"	""	""	""	""	""	"3"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"147"	""	"100"	""	""	"19"	""	""	""	"14"	""	""	""	"79"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	"41"	""	""	""	""	""	"7"	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"148"	""	"95"	""	""	"110"	""	""	""	"42"	""	""	""	"89"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	"69"	""	""	""	""	""	"5"	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"149"	""	"54"	""	""	"35"	""	""	""	"149"	""	""	""	"221"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"29"	""	""	""	""	""	"1"	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"150"	""	"44"	""	""	"12"	""	""	""	"119"	""	""	""	"92"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	""	""	""	"288"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"151"	""	"26"	""	""	"2"	""	""	""	"166"	""	""	""	"495"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"56"	""	""	""	""	""	"4"	""	""	""	""	""	""	"751"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"751"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"152"	""	"118"	""	""	"21"	""	""	""	"130"	""	""	""	"95"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	"56"	""	""	""	""	""	"7"	""	""	""	""	""	""	"451"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"153"	""	"540"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"556"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"556"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Total"	""	"1286"	""	""	"411"	""	""	""	"1737"	""	""	""	"1463"	""	""	""	""	""	"21"	""	""	""	"13"	""	""	""	""	""	"60"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"27"	""	""	""	""	"1269"	""	""	""	""	""	"49"	""	""	""	""	""	""	"6380"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"250"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""
"251"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""
"252"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"253"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"254"	"154"	""	"296"	""	""	"33"	""	""	""	"2"	""	""	""	"86"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	"37"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"464"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"155"	""	"554"	""	""	"27"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"600"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"156"	""	"294"	""	""	"14"	""	""	""	"44"	""	""	""	"102"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"0"	""	""	""	""	"73"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"545"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"157"	""	"2"	""	""	"2"	""	""	""	"150"	""	""	""	"192"	""	""	""	""	""	"11"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"158"	""	"219"	""	""	"9"	""	""	""	"25"	""	""	""	"119"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"120"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"496"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"159"	""	"37"	""	""	"24"	""	""	""	"22"	""	""	""	"176"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"261"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"160"	""	"11"	""	""	"1"	""	""	""	"24"	""	""	""	"143"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"196"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"196"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"161"	""	"124"	""	""	"22"	""	""	""	"25"	""	""	""	"119"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"305"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"162"	""	"7"	""	""	"3"	""	""	""	"16"	""	""	""	"222"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"163"	""	"382"	""	""	"13"	""	""	""	"4"	""	""	""	"24"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"439"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"164"	""	"209"	""	""	"29"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	"48"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"314"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"165"	""	"85"	""	""	"22"	""	""	""	"183"	""	""	""	"220"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	"36"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"166"	""	"439"	""	""	"4"	""	""	""	"3"	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	"43"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"505"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"167"	""	"98"	""	""	"36"	""	""	""	"61"	""	""	""	"211"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"9"	""	""	""	""	"94"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"583"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Total"	""	"2757"	""	""	"239"	""	""	""	"567"	""	""	""	"1634"	""	""	""	""	""	"28"	""	""	""	""	"16"	""	""	""	""	""	"51"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"25"	""	""	""	""	"478"	""	""	""	""	""	""	"46"	""	""	""	""	""	""	"5909"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"270"	"of"	"MAHESH SINGH YADAV"	""	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"271"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"272"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"274"	"168"	"13"	""	""	""	"0"	""	""	"36"	""	""	""	"603"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"660"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"660"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
