"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"193"	"126"	""	"616"	""	""	"2"	""	""	""	"34"	""	""	""	"1"	""	""	""	""	""	"30"	""	""	""	"0"	""	""	""	""	""	"83"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"768"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Total"	""	"3668"	""	""	"981"	""	""	""	"236"	""	""	""	"119"	""	""	""	""	""	"350"	""	""	""	"43"	""	""	""	""	""	"1632"	""	""	""	""	""	""	"58"	""	""	""	""	""	"34"	""	""	""	""	""	""	"23"	""	""	""	""	"29"	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"52"	""	""	""	""	""	""	"102"	""	""	""	""	""	""	"7366"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"196"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of"	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""	""	""	""
"197"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""	""	""
"198"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"199"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"200"	"154"	""	"246"	""	""	"8"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"58"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"338"	""	""	""	""	""	"0"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"155"	""	"279"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	""	"29"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"329"	""	""	""	""	""	"0"	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"156"	""	"152"	""	""	"8"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"351"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"521"	""	""	""	""	""	"0"	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"157"	""	"206"	""	""	"143"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	"5"	""	""	""	""	""	"215"	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"33"	""	""	""	""	""	"649"	""	""	""	""	""	"0"	""	""	""	""	""	""	"649"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"158"	""	"79"	""	""	"127"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	"6"	""	""	""	""	""	"172"	""	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"429"	""	""	""	""	""	"0"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"159"	""	"161"	""	""	"8"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"289"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"465"	""	""	""	""	""	"0"	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"160"	""	"26"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"702"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"731"	""	""	""	""	""	"0"	""	""	""	""	""	""	"731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"161"	""	"163"	""	""	"337"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"143"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	"677"	""	""	""	""	""	"0"	""	""	""	""	""	""	"677"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"162"	""	"20"	""	""	"56"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	"235"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"340"	""	""	""	""	""	"0"	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"163"	""	"468"	""	""	"17"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"13"	""	""	""	"6"	""	""	""	""	""	"56"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"567"	""	""	""	""	""	"0"	""	""	""	""	""	""	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"164"	""	"77"	""	""	"296"	""	""	""	"9"	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	"3"	""	""	""	""	""	"91"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"21"	""	""	""	""	""	"543"	""	""	""	""	""	"0"	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"165"	""	"87"	""	""	"140"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"133"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	"391"	""	""	""	""	""	"0"	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"166"	""	"174"	""	""	"74"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	"1"	""	""	""	""	""	"226"	""	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"514"	""	""	""	""	""	"0"	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"167"	""	"50"	""	""	"3"	""	""	""	"25"	""	""	""	"2"	""	""	""	""	""	"19"	""	""	""	"1"	""	""	""	""	""	"335"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	"450"	""	""	""	""	""	"0"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Total"	""	"2188"	""	""	"1218"	""	""	""	"66"	""	""	""	"32"	""	""	""	""	""	"78"	""	""	""	"35"	""	""	""	""	""	"3035"	""	""	""	""	""	""	"49"	""	""	""	""	""	"27"	""	""	""	""	""	""	"22"	""	""	""	""	"29"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"57"	""	""	""	""	""	""	"90"	""	""	""	""	""	"6944"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6944"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"216"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"217"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"218"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"220"	"127"	""	"170"	""	""	"13"	""	""	""	"120"	""	""	""	"13"	""	""	""	""	""	"45"	""	""	""	"8"	""	""	""	""	""	"81"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"20"	""	""	""	""	""	"494"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"128"	""	"274"	""	""	"8"	""	""	""	"26"	""	""	""	"2"	""	""	""	""	""	"21"	""	""	""	"3"	""	""	""	""	""	"85"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"432"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"129"	""	"157"	""	""	"14"	""	""	""	"23"	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	"1"	""	""	""	""	""	"253"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"479"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"479"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"130"	""	"45"	""	""	"18"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	"4"	""	""	""	""	""	"236"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"323"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"130(Ka)"	""	"9"	""	""	"29"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"235"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"284"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"131"	""	"125"	""	""	"31"	""	""	""	"46"	""	""	""	"4"	""	""	""	""	""	"194"	""	""	""	"10"	""	""	""	""	""	"197"	""	""	""	""	""	""	"11"	""	""	""	""	""	"11"	""	""	""	""	""	""	"8"	""	""	""	""	"11"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"23"	""	""	""	""	""	"711"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"711"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"132"	""	"186"	""	""	"72"	""	""	""	"71"	""	""	""	"7"	""	""	""	""	""	"69"	""	""	""	"10"	""	""	""	""	""	"48"	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"15"	""	""	""	""	""	"516"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"133"	""	"943"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"953"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"953"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"134"	""	"167"	""	""	"6"	""	""	""	"8"	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"156"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"362"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"135"	""	"29"	""	""	"26"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"421"	""	""	""	""	""	""	"12"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"502"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"136"	""	"283"	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	""	"39"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"342"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"137"	""	"63"	""	""	"8"	""	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"15"	""	""	""	"4"	""	""	""	""	""	"129"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"28"	""	""	""	""	""	"274"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"138"	""	"510"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"52"	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	"579"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"579"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"139"	""	"112"	""	""	"37"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"21"	""	""	""	"4"	""	""	""	""	""	"194"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	""	"397"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Total"	""	"3073"	""	""	"267"	""	""	""	"307"	""	""	""	"37"	""	""	""	""	""	"452"	""	""	""	"56"	""	""	""	""	""	"2087"	""	""	""	""	""	""	"47"	""	""	""	""	""	"26"	""	""	""	""	""	""	"29"	""	""	""	""	"39"	""	""	""	""	""	""	"39"	""	""	""	""	""	""	"71"	""	""	""	""	""	""	"118"	""	""	""	""	""	"6648"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6648"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"236"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM
KESHWAR PRASAD YADAV"	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"237"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"238"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"240"	"140"	""	"87"	""	""	"9"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	"6"	""	""	""	""	""	"194"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"331"	""	""	""	""	""	""	"0"	""	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
