"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"211"	"Round No. ……          10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"213"	"of"	""	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"214"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"215"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"217"	"127"	""	"136"	""	""	"13"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	""	"193"	""	""	""	""	""	"11"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"15"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"128"	""	"97"	""	""	"36"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"84"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"255"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"129"	""	"67"	""	""	"60"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	"474"	""	""	""	""	""	""	""	"47"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"688"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"688"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"130"	""	"104"	""	""	"16"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	"495"	""	""	""	""	""	""	""	"54"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"702"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"702"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"131"	""	"169"	""	""	"25"	""	""	""	""	"17"	""	""	""	""	"12"	""	""	""	""	""	"25"	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"14"	""	""	""	""	""	"153"	""	""	""	""	""	""	""	"57"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"508"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"132"	""	"35"	""	""	"28"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"35"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"99"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"238"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"133"	""	"12"	""	""	"7"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"49"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"315"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"134"	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"398"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"409"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"135"	""	"108"	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"65"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	"429"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"663"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"663"	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"136"	""	"64"	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"413"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"137"	""	"14"	""	""	"14"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"637"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"691"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"691"	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"138"	""	"14"	""	""	"27"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"47"	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"16"	""	""	""	""	""	"303"	""	""	""	""	""	""	""	"49"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"496"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"139"	""	"130"	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	"105"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"15"	""	""	""	""	""	"143"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"476"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"140"	""	"98"	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"215"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Total"	""	"1049"	""	""	"247"	""	""	""	""	"40"	""	""	""	""	"52"	""	""	""	""	""	"656"	""	""	""	""	""	"50"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	"94"	""	""	""	""	""	"3898"	""	""	""	""	""	""	""	"345"	""	""	""	""	""	"80"	""	""	""	""	""	""	""	"143"	""	""	""	""	""	""	"6686"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6686"	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Round No. ……          11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"241"	"of"	""	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"242"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"243"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"245"	"141"	""	"19"	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"51"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	"655"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"751"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"751"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"142"	""	"64"	""	""	"61"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"223"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"77"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"436"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"143"	""	"8"	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"290"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"144"	""	"114"	""	""	"26"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"183"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	"92"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"145"	""	"40"	""	""	"76"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"304"	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"471"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"146"	""	"523"	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"26"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"77"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"650"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"147"	""	"139"	""	""	"33"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	"75"	""	""	""	""	"11"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"19"	""	""	""	""	""	"72"	""	""	""	""	""	""	""	"44"	""	""	""	""	""	"13"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"461"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"148"	""	"193"	""	""	"155"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	"66"	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"149"	""	"28"	""	""	"56"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"59"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"156"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"150"	""	"146"	""	""	"29"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	"206"	""	""	""	""	"10"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"16"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"469"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"151"	""	"489"	""	""	"30"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"38"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"562"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"562"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"152"	""	"100"	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	"142"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	"9"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"334"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"153"	""	"349"	""	""	"26"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	""	"405"	""	""	""	""	"16"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"25"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"873"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"873"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"154"	""	"195"	""	""	"143"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	"203"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"15"	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	"10"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"655"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Total"	""	"2407"	""	""	"658"	""	""	""	""	"31"	""	""	""	""	"55"	""	""	""	""	""	"2271"	""	""	""	""	"71"	""	""	""	""	""	""	"37"	""	""	""	""	""	""	"136"	""	""	""	""	""	"1064"	""	""	""	""	""	""	""	"187"	""	""	""	""	""	"59"	""	""	""	""	""	""	"96"	""	""	""	""	""	""	"7072"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
