"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"232"	"¼  fu;e  59,  ds  v/khu fofufnZ\"V  fuokZpu  {ks= ds  ernku  dsUnzksa ij  ernku  ifj.kke  dks  vfHkfyf[kr djus ds  fy,  iz;ksx  fd;s  tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"23&ehjxat fo/kku  lHkk  fuokZpu  {ks= ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"ckjgok¡  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"ernku  dssUnz
la[;k"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erks  dh la[;k"	""	""	""	";ksx"	""	""	""	""
"236"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"238"	"151"	""	""	""	"79"	""	""	""	"69"	""	""	""	"134"	""	""	""	""	"47"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	"7"	""	""	""	"17"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"402"	""	""	""	""	""	""	""	"402"	""	""	""	""
"239"	"152"	""	""	""	"11"	""	""	""	"67"	""	""	""	"15"	""	""	""	""	"296"	""	""	""	""	"17"	""	""	""	"10"	""	""	""	"7"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"31"	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"492"	""	""	""	""	""	""	""	"492"	""	""	""	""
"240"	"153"	""	""	""	"136"	""	""	""	"99"	""	""	""	"14"	""	""	""	""	"192"	""	""	""	""	"11"	""	""	""	"5"	""	""	""	"14"	""	""	""	"4"	""	""	""	""	"12"	""	""	""	"10"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"17"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	"543"	""	""	""	""	""	""	""	"543"	""	""	""	""
"241"	"154"	""	""	""	"125"	""	""	""	"138"	""	""	""	"14"	""	""	""	""	"163"	""	""	""	""	"13"	""	""	""	"0"	""	""	""	"4"	""	""	""	"34"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"14"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"527"	""	""	""	""	""	""	""	"527"	""	""	""	""
"242"	"155"	""	""	""	"8"	""	""	""	"62"	""	""	""	"37"	""	""	""	""	"187"	""	""	""	""	"17"	""	""	""	"5"	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"16"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"380"	""	""	""	""	""	""	""	"380"	""	""	""	""
"243"	"156"	""	""	""	"39"	""	""	""	"65"	""	""	""	"128"	""	""	""	""	"180"	""	""	""	""	"14"	""	""	""	"7"	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"6"	""	""	""	"25"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"24"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"522"	""	""	""	""	""	""	""	"522"	""	""	""	""
"244"	"157"	""	""	""	"80"	""	""	""	"8"	""	""	""	"195"	""	""	""	""	"47"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"369"	""	""	""	""	""	""	""	"369"	""	""	""	""
"245"	"158"	""	""	""	"36"	""	""	""	"15"	""	""	""	"101"	""	""	""	""	"238"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"19"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	"461"	""	""	""	""	""	""	""	"461"	""	""	""	""
"246"	"159"	""	""	""	"119"	""	""	""	"53"	""	""	""	"126"	""	""	""	""	"147"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"13"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"20"	""	""	""	"539"	""	""	""	""	""	""	""	"539"	""	""	""	""
"247"	"160"	""	""	""	"41"	""	""	""	"24"	""	""	""	"83"	""	""	""	""	"263"	""	""	""	""	"19"	""	""	""	"1"	""	""	""	"7"	""	""	""	"11"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"477"	""	""	""	""	""	""	""	"477"	""	""	""	""
"248"	"161"	""	""	""	"73"	""	""	""	"18"	""	""	""	"161"	""	""	""	""	"96"	""	""	""	""	"11"	""	""	""	"7"	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	"415"	""	""	""	""	""	""	""	"415"	""	""	""	""
"249"	"162"	""	""	""	"6"	""	""	""	"10"	""	""	""	"245"	""	""	""	""	"134"	""	""	""	""	"11"	""	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"442"	""	""	""	""	""	""	""	"442"	""	""	""	""
"250"	"163"	""	""	""	"82"	""	""	""	"82"	""	""	""	"111"	""	""	""	""	"136"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"90"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"551"	""	""	""	""	""	""	""	"551"	""	""	""	""
"251"	"164"	""	""	""	"22"	""	""	""	"8"	""	""	""	"136"	""	""	""	""	"150"	""	""	""	""	"11"	""	""	""	"3"	""	""	""	"3"	""	""	""	"23"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"392"	""	""	""	""	""	""	""	"392"	""	""	""	""
"252"	";ksx"	""	""	""	"857"	""	""	""	"718"	""	""	""	"1500"	""	""	""	""	"2276"	""	""	""	""	"174"	""	""	""	"53"	""	""	""	"92"	""	""	""	"125"	""	""	""	""	"85"	""	""	""	"95"	""	""	""	""	"25"	""	""	""	"32"	""	""	""	""	"118"	""	""	""	"217"	""	""	""	""	"44"	""	""	""	""	"101"	""	""	""	"6512"	""	""	""	"0"	""	""	""	"6512"	""	""	""	""
"253"	"lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"rsjgok¡  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"ernku
dsUnz la[;k"	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fo/kekU; er"	""	""	""	"izfr{ksfir
erks  dh la[;k"	""	""	""	";ksx"	""	""	""	""	""	""	""
"256"	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""	""	""	""
"258"	"165"	"23"	""	""	""	"115"	""	""	""	"34"	""	""	""	""	"136"	""	""	""	""	"15"	""	""	""	"2"	""	""	""	"8"	""	""	""	"38"	""	""	""	""	"18"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"415"	""	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""
"259"	"166"	"60"	""	""	""	"34"	""	""	""	"53"	""	""	""	""	"103"	""	""	""	""	"16"	""	""	""	"10"	""	""	""	"10"	""	""	""	"48"	""	""	""	""	"18"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"392"	""	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""
"260"	"167"	"56"	""	""	""	"44"	""	""	""	"15"	""	""	""	""	"83"	""	""	""	""	"10"	""	""	""	"3"	""	""	""	"8"	""	""	""	"177"	""	""	""	""	"3"	""	""	""	"19"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""
"261"	"168"	"35"	""	""	""	"9"	""	""	""	"141"	""	""	""	""	"222"	""	""	""	""	"22"	""	""	""	"3"	""	""	""	"9"	""	""	""	"46"	""	""	""	""	"31"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"546"	""	""	""	""	""	""	""	"546"	""	""	""	""	""	""	""
"262"	"169"	"80"	""	""	""	"141"	""	""	""	"26"	""	""	""	""	"201"	""	""	""	""	"35"	""	""	""	"4"	""	""	""	"4"	""	""	""	"9"	""	""	""	""	"15"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"531"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""
"263"	"170"	"13"	""	""	""	"26"	""	""	""	"114"	""	""	""	""	"86"	""	""	""	""	"16"	""	""	""	"5"	""	""	""	"3"	""	""	""	"18"	""	""	""	""	"12"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"316"	""	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""
"264"	"171"	"79"	""	""	""	"11"	""	""	""	"18"	""	""	""	""	"124"	""	""	""	""	"31"	""	""	""	"31"	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"23"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"352"	""	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""
"265"	"172"	"25"	""	""	""	"7"	""	""	""	"46"	""	""	""	""	"82"	""	""	""	""	"11"	""	""	""	"33"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"23"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"282"	""	""	""	""	""	""	""	"282"	""	""	""	""	""	""	""
"266"	"173"	"37"	""	""	""	"35"	""	""	""	"33"	""	""	""	""	"283"	""	""	""	""	"31"	""	""	""	"7"	""	""	""	"13"	""	""	""	"16"	""	""	""	""	"27"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"21"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"534"	""	""	""	""	""	""	""	"534"	""	""	""	""	""	""	""
"267"	"174"	"8"	""	""	""	"296"	""	""	""	"29"	""	""	""	""	"42"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"150"	""	""	""	""	"13"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"577"	""	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""
"268"	"175"	"26"	""	""	""	"130"	""	""	""	"67"	""	""	""	""	"43"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"30"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"317"	""	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""
"269"	"176"	"11"	""	""	""	"41"	""	""	""	"49"	""	""	""	""	"119"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"260"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""
"270"	"177"	"20"	""	""	""	"19"	""	""	""	"48"	""	""	""	""	"212"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"10"	""	""	""	""	"48"	""	""	""	"15"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"57"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"445"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""
"271"	"178"	"25"	""	""	""	"24"	""	""	""	"79"	""	""	""	""	"242"	""	""	""	""	"43"	""	""	""	"4"	""	""	""	"5"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"18"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"15"	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"503"	""	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""
"272"	";ksx"	"498"	""	""	""	"932"	""	""	""	"752"	""	""	""	""	"1978"	""	""	""	""	"246"	""	""	""	"105"	""	""	""	"90"	""	""	""	"567"	""	""	""	""	"215"	""	""	""	"109"	""	""	""	""	"28"	""	""	""	"50"	""	""	""	""	"189"	""	""	""	"55"	""	""	""	""	"32"	""	""	""	""	"49"	""	""	""	"5895"	""	""	""	"0"	""	""	""	"5895"	""	""	""	""	""	""	""
"273"	"pkSngok pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"fuokZpu  lapkyu  fu;ekoyh  1962"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"izi=  &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"¼fu;e  56  ch0  ¼7½  nsf[k;s  ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"¼  fu;e  59,  ds  v/khu fofufnZ\"V  fuokZpu  {ks= ds  ernku  dsUnzksa ij  ernku  ifj.kke  dks  vfHkfyf[kr djus ds  fy,  iz;ksx  fd;s  tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"23&ehjxat fo/kku  lHkk  fuokZpu  {ks= ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""	""	""
"281"	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	"eq[kyky
jke"	""	""	""	""	"jk/kofd'kksj
flag"	""	""	""	"jkts'k
dqekj flag"	""	""	""	""	"jkeujs'k
izlkn"	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"1"	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	""	"13"	""	""	""	"14"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""	""	""
"283"	"179"	""	"10"	""	""	""	"5"	""	""	""	"69"	""	""	""	"98"	""	""	""	""	"74"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"58"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"365"	""	""	""	""	""	""	""	"365"	""	""	""	""	""	""
"284"	"180"	""	"22"	""	""	""	"14"	""	""	""	"114"	""	""	""	"128"	""	""	""	""	"15"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"328"	""	""	""	""	""	""	""	"328"	""	""	""	""	""	""
"285"	"181"	""	"60"	""	""	""	"41"	""	""	""	"105"	""	""	""	"88"	""	""	""	""	"21"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"3"	""	""	""	"26"	""	""	""	""	"14"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"21"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"400"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""
"286"	"182"	""	"133"	""	""	""	"7"	""	""	""	"3"	""	""	""	"68"	""	""	""	""	"44"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	"296"	""	""	""	""	""	""	""	"296"	""	""	""	""	""	""
"287"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""
"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""
"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""
