"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"170"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""
"171"	"102"	""	"1"	""	""	"27"	""	""	""	"156"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"102(Ka)"	""	"10"	""	""	"12"	""	""	""	"95"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"123"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"123"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"103"	""	"130"	""	""	"35"	""	""	""	"39"	""	""	""	"27"	""	""	""	""	""	"25"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"14"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"104"	""	"197"	""	""	"32"	""	""	""	"17"	""	""	""	"32"	""	""	""	""	""	"15"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"105"	""	"210"	""	""	"27"	""	""	""	"147"	""	""	""	"60"	""	""	""	""	""	"13"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"106"	""	"275"	""	""	"28"	""	""	""	"11"	""	""	""	"20"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"107"	""	"284"	""	""	"30"	""	""	""	"31"	""	""	""	"20"	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"108"	""	"265"	""	""	"21"	""	""	""	"34"	""	""	""	"97"	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"109"	""	"196"	""	""	"56"	""	""	""	"30"	""	""	""	"77"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"110"	""	"261"	""	""	"15"	""	""	""	"25"	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"111"	""	"95"	""	""	"8"	""	""	""	"14"	""	""	""	"141"	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"112"	""	"142"	""	""	"25"	""	""	""	"32"	""	""	""	"49"	""	""	""	""	""	"19"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"113"	""	"173"	""	""	"43"	""	""	""	"60"	""	""	""	"5"	""	""	""	""	""	"56"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"114"	""	"190"	""	""	"33"	""	""	""	"28"	""	""	""	"22"	""	""	""	""	""	"13"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Total"	""	"2429"	""	""	"392"	""	""	""	"719"	""	""	""	"563"	""	""	""	""	""	"175"	""	""	""	""	""	""	"56"	""	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"53"	""	""	""	""	""	"29"	""	""	""	""	""	""	""	""	"51"	""	""	""	""	""	""	""	"137"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"4683"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4683"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
"187"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"188"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"189"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""
"191"	"115"	""	"165"	""	""	"41"	""	""	""	"51"	""	""	""	"36"	""	""	""	""	""	"3"	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"116"	""	"374"	""	""	"11"	""	""	""	"33"	""	""	""	"16"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"117"	""	"470"	""	""	"17"	""	""	""	"54"	""	""	""	"9"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"588"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"588"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"118"	""	"226"	""	""	"8"	""	""	""	"26"	""	""	""	"39"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"119"	""	"412"	""	""	"31"	""	""	""	"51"	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"532"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"532"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"120"	""	"316"	""	""	"51"	""	""	""	"168"	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"636"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"636"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"121"	""	"136"	""	""	"22"	""	""	""	"217"	""	""	""	"23"	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"423"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"122"	""	"329"	""	""	"19"	""	""	""	"37"	""	""	""	"27"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"56"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"123"	""	"328"	""	""	"13"	""	""	""	"55"	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"124"	""	"92"	""	""	"7"	""	""	""	"320"	""	""	""	"82"	""	""	""	""	""	"13"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"125"	""	"256"	""	""	"20"	""	""	""	"42"	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"126"	""	"289"	""	""	"5"	""	""	""	"97"	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"127"	""	"327"	""	""	"30"	""	""	""	"50"	""	""	""	"12"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	"189"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"689"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"689"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"128"	""	"194"	""	""	"39"	""	""	""	"66"	""	""	""	"33"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Total"	""	"3914"	""	""	"314"	""	""	""	"1267"	""	""	""	"332"	""	""	""	""	""	"46"	""	""	""	""	""	""	"61"	""	""	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"64"	""	""	""	""	""	"50"	""	""	""	""	""	""	""	""	"239"	""	""	""	""	""	""	"366"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"48"	""	""	""	""	""	""	""	"6813"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6813"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"207"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"208"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"209"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"211"	"128(Ka)"	""	"279"	""	""	"39"	""	""	""	"44"	""	""	""	"19"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"456"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"129"	""	"319"	""	""	"52"	""	""	""	"84"	""	""	""	"20"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
