"425"	"192"	"4"	"2"	"14"	"2"	"284"	"1"	"5"	""	"5"	""	""	"0"	""	"5"	""	"2"	""	"4"	""	""	"3"	""	"3"	"4"	"8"	"2"	"3"	"351"	""	"351"	""
"426"	"193"	"10"	"24"	"42"	"57"	"237"	"6"	"10"	""	"8"	""	""	"1"	""	"9"	""	"2"	""	"2"	""	""	"10"	""	"1"	"41"	"7"	"3"	"4"	"474"	""	"474"	""
"427"	"194"	"18"	"17"	"129"	"53"	"338"	"7"	"4"	""	"14"	""	""	"1"	""	"22"	""	"6"	""	"7"	""	""	"24"	""	"3"	"26"	"4"	"3"	"2"	"678"	""	"678"	""
"428"	"; ksx"	"68"	"130"	"607"	"163"	"1891"	"39"	"26"	""	"69"	""	""	"18"	""	"84"	""	"26"	""	"38"	""	""	"239"	""	"43"	"169"	"54"	"39"	"35"	"3738"	""	"3738"	""
"429"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1207"	"2380"	"25371"	"2668"	"47967"	"877"	"610"	""	"1668"	""	""	"606"	""	"1526"	""	"840"	""	"2292"	""	""	"2675"	""	"1401"	"4984"	"2129"	"1984"	"1181"	"102366"	""	"88838"	""
"430"	"d qy  ; ksx"	"1275"	"2510"	"25978"	"2831"	"49858"	"916"	"636"	""	"1737"	""	""	"624"	""	"1610"	""	"866"	""	"2330"	""	""	"2914"	""	"1444"	"5153"	"2183"	"2023"	"1216"	"106104"	""	"106104"	""
"431"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"pÿ  l a0  %&  30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"434"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"dsUnzksa dh
dze l a0"	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"438"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"439"	"195"	"7"	"16"	"94"	"3"	"234"	"3"	"1"	""	"8"	""	""	"4"	""	"8"	""	"1"	""	"1"	""	""	"7"	""	"5"	"59"	"3"	"3"	"1"	"458"	""	"458"	""
"440"	"196"	"4"	"1"	"176"	"6"	"141"	"0"	"1"	""	"6"	""	""	"0"	""	"3"	""	"3"	""	"6"	""	""	"7"	""	"11"	"7"	"8"	"1"	"4"	"385"	""	"385"	""
"441"	"197"	"4"	"2"	"93"	"3"	"194"	"2"	"2"	""	"5"	""	""	"1"	""	"6"	""	"2"	""	"5"	""	""	"2"	""	"5"	"4"	"6"	"6"	"4"	"346"	""	"346"	""
"442"	"198"	"3"	"19"	"292"	"21"	"209"	"10"	"2"	""	"3"	""	""	"4"	""	"10"	""	"3"	""	"14"	""	""	"9"	""	"14"	"45"	"18"	"2"	"4"	"682"	""	"682"	""
"443"	"199"	"5"	"5"	"109"	"8"	"317"	"7"	"5"	""	"12"	""	""	"0"	""	"29"	""	"3"	""	"8"	""	""	"19"	""	"12"	"30"	"20"	"5"	"6"	"600"	""	"600"	""
"444"	"200"	"4"	"24"	"360"	"8"	"12"	"0"	"1"	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"12"	""	""	"4"	""	"5"	"6"	"3"	"6"	"0"	"446"	""	"446"	""
"445"	"201"	"0"	"30"	"251"	"3"	"17"	"1"	"0"	""	"2"	""	""	"0"	""	"2"	""	"1"	""	"2"	""	""	"3"	""	"4"	"3"	"7"	"16"	"0"	"342"	""	"342"	""
"446"	"; ksx"	"27"	"97"	"1375"	"52"	"1124"	"23"	"12"	""	"37"	""	""	"9"	""	"58"	""	"13"	""	"48"	""	""	"51"	""	"56"	"154"	"65"	"39"	"19"	"3259"	""	"3259"	""
"447"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1275"	"2510"	"25978"	"2831"	"49858"	"916"	"636"	""	"1737"	""	""	"624"	""	"1610"	""	"866"	""	"2330"	""	""	"2914"	""	"1444"	"5153"	"2183"	"2023"	"1216"	"106104"	""	"92279"	""
"448"	"d qy  ; ksx"	"1302"	"2607"	"27353"	"2883"	"50982"	"939"	"648"	""	"1774"	""	""	"633"	""	"1668"	""	"879"	""	"2378"	""	""	"2965"	""	"1500"	"5307"	"2248"	"2062"	"1235"	"109363"	""	"109363"	""
"449"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"pÿ  l a0  %&  31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"452"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"456"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"457"	"202"	"8"	"11"	"72"	"7"	"318"	"4"	"3"	""	"13"	""	""	"1"	""	"18"	""	"3"	""	"4"	""	""	"31"	""	"3"	"35"	"5"	"1"	"1"	"538"	""	"538"	""
"458"	"203"	"1"	"9"	"42"	"4"	"257"	"2"	"3"	""	"8"	""	""	"2"	""	"9"	""	"9"	""	"4"	""	""	"7"	""	"2"	"27"	"10"	"0"	"4"	"400"	""	"400"	""
"459"	"204"	"11"	"14"	"150"	"25"	"279"	"4"	"1"	""	"7"	""	""	"3"	""	"12"	""	"3"	""	"1"	""	""	"4"	""	"8"	"6"	"16"	"5"	"4"	"553"	""	"553"	""
"460"	"205"	"18"	"16"	"54"	"18"	"282"	"7"	"6"	""	"13"	""	""	"4"	""	"40"	""	"2"	""	"4"	""	""	"6"	""	"1"	"7"	"11"	"7"	"4"	"500"	""	"500"	""
"461"	"206"	"6"	"13"	"185"	"7"	"159"	"1"	"1"	""	"5"	""	""	"1"	""	"8"	""	"0"	""	"2"	""	""	"37"	""	"10"	"7"	"6"	"0"	"1"	"449"	""	"449"	""
"462"	"207"	"3"	"4"	"73"	"21"	"182"	"5"	"2"	""	"16"	""	""	"3"	""	"14"	""	"5"	""	"6"	""	""	"5"	""	"18"	"10"	"17"	"4"	"0"	"388"	""	"388"	""
"463"	"207d"	"3"	"5"	"102"	"14"	"198"	"4"	"4"	""	"13"	""	""	"3"	""	"13"	""	"7"	""	"9"	""	""	"10"	""	"9"	"13"	"15"	"2"	"2"	"426"	""	"426"	""
"464"	"; ksx"	"50"	"72"	"678"	"96"	"1675"	"27"	"20"	""	"75"	""	""	"17"	""	"114"	""	"29"	""	"30"	""	""	"100"	""	"51"	"105"	"80"	"19"	"16"	"3254"	""	"3254"	""
"465"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1302"	"2607"	"27353"	"2883"	"50982"	"939"	"648"	""	"1774"	""	""	"633"	""	"1668"	""	"879"	""	"2378"	""	""	"2965"	""	"1500"	"5307"	"2248"	"2062"	"1235"	"109363"	""	"95361"	""
"466"	"d qy  ; ksx"	"1352"	"2679"	"28031"	"2979"	"52657"	"966"	"668"	""	"1849"	""	""	"650"	""	"1782"	""	"908"	""	"2408"	""	""	"3065"	""	"1551"	"5412"	"2328"	"2081"	"1251"	"112617"	""	"112617"	""
"467"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"468"	"pÿ  l a0  %&  32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"469"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"470"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"471"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"472"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"473"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"474"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"475"	"208"	"5"	"5"	"25"	"5"	"100"	"3"	"0"	""	"5"	""	""	"0"	""	"10"	""	"0"	""	"2"	""	""	"34"	""	"3"	"67"	"6"	"1"	"0"	"271"	""	"271"	""
"476"	"208d"	"10"	"10"	"68"	"4"	"122"	"4"	"6"	""	"19"	""	""	"2"	""	"46"	""	"1"	""	"4"	""	""	"28"	""	"9"	"18"	"9"	"1"	"2"	"363"	""	"363"	""
"477"	"209"	"10"	"17"	"222"	"16"	"111"	"2"	"4"	""	"11"	""	""	"1"	""	"28"	""	"8"	""	"2"	""	""	"38"	""	"16"	"27"	"5"	"10"	"7"	"535"	""	"535"	""
"478"	"210"	"7"	"13"	"92"	"4"	"127"	"5"	"5"	""	"20"	""	""	"4"	""	"52"	""	"4"	""	"5"	""	""	"21"	""	"10"	"12"	"3"	"0"	"2"	"386"	""	"386"	""
"479"	"211"	"3"	"1"	"32"	"2"	"340"	"5"	"3"	""	"6"	""	""	"1"	""	"3"	""	"1"	""	"8"	""	""	"0"	""	"5"	"4"	"1"	"2"	"1"	"418"	""	"418"	""
"480"	"211d"	"18"	"17"	"94"	"4"	"205"	"1"	"2"	""	"18"	""	""	"3"	""	"10"	""	"2"	""	"6"	""	""	"12"	""	"10"	"19"	"12"	"12"	"3"	"448"	""	"448"	""
"481"	"; ksx"	"53"	"63"	"533"	"35"	"1005"	"20"	"20"	""	"79"	""	""	"11"	""	"149"	""	"16"	""	"27"	""	""	"133"	""	"53"	"147"	"36"	"26"	"15"	"2421"	""	"2421"	""
"482"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1352"	"2679"	"28031"	"2979"	"52657"	"966"	"668"	""	"1849"	""	""	"650"	""	"1782"	""	"908"	""	"2408"	""	""	"3065"	""	"1551"	"5412"	"2328"	"2081"	"1251"	"112617"	""	"112617"	""
"483"	"d qy  ; ksx"	"1405"	"2742"	"28564"	"3014"	"53662"	"986"	"688"	""	"1928"	""	""	"661"	""	"1931"	""	"924"	""	"2435"	""	""	"3198"	""	"1604"	"5559"	"2364"	"2107"	"1266"	"115038"	"0"	"115038"	""
"484"	"Mkd  er i =ksa
i j
vfHkfyf[ kr er ksa dh
l a[ ; k"	"0"	"3"	"22"	"1"	"45"	"2"	"0"	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"0"	""	"0"	"9"	"0"	"0"	"0"	"83"	""	"83"	""
"485"	"Mkys x; s
dqy  er"	"1405"	"2745"	"28586"	"3015"	"53707"	"988"	"688"	""	"1928"	""	""	"661"	""	"1931"	""	"925"	""	"2435"	""	""	"3198"	""	"1604"	"5568"	"2364"	"2107"	"1266"	"115121"	"0"	"115121"	""
"486"	"fuokZph i nkf/kdkj h]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"110&cM+gfj ; k fo/kku l Hkk {ks=A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
