"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"354"	"164"	""	""	""	""	""	"120"	""	"146"	""	"163"	""	"3"	""	"3"	""	"4"	"2"	"2"	"2"	""	"4"	""	"112"	"1"	"1"	""	"3"	""	"2"	""	"3"	"10"	""	"6"	""	"6"	""	"4"	""	"7"	""	"2"	"0"	""	"1"	"2"	"7"	"14"	""	"1"	""	"6"	""	"637"	""	""
"355"	"165"	""	""	""	""	""	"20"	""	"343"	""	"23"	""	"2"	""	"2"	""	"1"	"0"	"0"	"1"	""	"3"	""	"19"	"0"	"1"	""	"1"	""	"2"	""	"1"	"0"	""	"2"	""	"17"	""	"1"	""	"5"	""	"0"	"1"	""	"0"	"1"	"1"	"0"	""	"0"	""	"0"	""	"447"	""	""
"356"	"Round"	""	""	""	""	""	"1267"	""	"2096"	""	"1899"	""	"54"	""	"31"	""	"30"	"12"	"22"	"33"	""	"65"	""	"350"	"23"	"25"	""	"321"	""	"96"	""	"50"	"81"	""	"47"	""	"53"	""	"42"	""	"70"	""	"11"	"42"	""	"24"	"29"	"50"	"69"	""	"19"	""	"53"	""	"79164"	""	""
"357"	"166"	""	""	""	""	""	"23"	""	"31"	""	"258"	""	"5"	""	"1"	""	"2"	"1"	"5"	"0"	""	"5"	""	"2"	"0"	"1"	""	"24"	""	"7"	""	"1"	"3"	""	"3"	""	"7"	""	"2"	""	"4"	""	"1"	"1"	""	"3"	"1"	"7"	"3"	""	"1"	""	"11"	""	"413"	""	""
"358"	"167"	""	""	""	""	""	"54"	""	"170"	""	"100"	""	"3"	""	"1"	""	"0"	"0"	"3"	"1"	""	"1"	""	"3"	"1"	"3"	""	"31"	""	"9"	""	"7"	"2"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	"1"	""	"0"	"0"	"0"	"12"	""	"1"	""	"0"	""	"406"	""	""
"359"	"168"	""	""	""	""	""	"128"	""	"118"	""	"59"	""	"6"	""	"4"	""	"1"	"3"	"6"	"4"	""	"6"	""	"16"	"1"	"53"	""	"20"	""	"2"	""	"8"	"6"	""	"8"	""	"7"	""	"3"	""	"3"	""	"3"	"6"	""	"2"	"3"	"1"	"2"	""	"3"	""	"6"	""	"488"	""	""
"360"	"169"	""	""	""	""	""	"146"	""	"61"	""	"136"	""	"5"	""	"3"	""	"2"	"3"	"1"	"5"	""	"2"	""	"20"	"0"	"3"	""	"55"	""	"3"	""	"7"	"2"	""	"6"	""	"6"	""	"0"	""	"4"	""	"0"	"2"	""	"0"	"0"	"2"	"2"	""	"0"	""	"4"	""	"480"	""	""
"361"	"170"	""	""	""	""	""	"19"	""	"61"	""	"175"	""	"12"	""	"23"	""	"6"	"3"	"2"	"10"	""	"5"	""	"126"	"3"	"4"	""	"18"	""	"4"	""	"4"	"4"	""	"1"	""	"10"	""	"4"	""	"15"	""	"4"	"1"	""	"2"	"10"	"1"	"11"	""	"1"	""	"3"	""	"542"	""	""
"362"	"171"	""	""	""	""	""	"11"	""	"6"	""	"58"	""	"5"	""	"4"	""	"4"	"0"	"0"	"1"	""	"0"	""	"11"	"0"	"0"	""	"3"	""	"0"	""	"1"	"0"	""	"0"	""	"0"	""	"0"	""	"4"	""	"0"	"0"	""	"0"	"0"	"1"	"2"	""	"0"	""	"0"	""	"111"	""	""
"363"	"172"	""	""	""	""	""	"38"	""	"216"	""	"30"	""	"5"	""	"2"	""	"1"	"4"	"1"	"2"	""	"0"	""	"26"	"0"	"2"	""	"48"	""	"23"	""	"17"	"5"	""	"7"	""	"7"	""	"3"	""	"4"	""	"0"	"1"	""	"3"	"2"	"1"	"5"	""	"4"	""	"14"	""	"471"	""	""
"364"	"173"	""	""	""	""	""	"35"	""	"52"	""	"24"	""	"0"	""	"1"	""	"0"	"0"	"0"	"1"	""	"0"	""	"61"	"1"	"0"	""	"23"	""	"0"	""	"1"	"2"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	"2"	""	"2"	"2"	"0"	"0"	""	"1"	""	"0"	""	"213"	""	""
"365"	"174"	""	""	""	""	""	"67"	""	"88"	""	"66"	""	"2"	""	"1"	""	"2"	"4"	"0"	"7"	""	"11"	""	"59"	"5"	"5"	""	"96"	""	"11"	""	"10"	"18"	""	"6"	""	"4"	""	"7"	""	"3"	""	"3"	"2"	""	"4"	"7"	"2"	"8"	""	"4"	""	"15"	""	"517"	""	""
"366"	"175"	""	""	""	""	""	"255"	""	"31"	""	"22"	""	"2"	""	"1"	""	"1"	"0"	"1"	"1"	""	"0"	""	"1"	"2"	"2"	""	"44"	""	"0"	""	"0"	"3"	""	"4"	""	"1"	""	"0"	""	"2"	""	"0"	"1"	""	"0"	"1"	"0"	"0"	""	"0"	""	"4"	""	"379"	""	""
"367"	"176"	""	""	""	""	""	"218"	""	"91"	""	"180"	""	"6"	""	"1"	""	"4"	"3"	"5"	"3"	""	"2"	""	"2"	"4"	"3"	""	"31"	""	"4"	""	"7"	"8"	""	"6"	""	"6"	""	"6"	""	"4"	""	"0"	"1"	""	"3"	"1"	"3"	"3"	""	"4"	""	"13"	""	"622"	""	""
"368"	"177"	""	""	""	""	""	"98"	""	"63"	""	"139"	""	"4"	""	"2"	""	"3"	"0"	"3"	"1"	""	"1"	""	"2"	"2"	"1"	""	"19"	""	"2"	""	"5"	"6"	""	"4"	""	"5"	""	"4"	""	"3"	""	"2"	"2"	""	"2"	"1"	"1"	"3"	""	"8"	""	"9"	""	"395"	""	""
"369"	"177"	""	""	"A"	""	""	"101"	""	"45"	""	"56"	""	"2"	""	"0"	""	"2"	"1"	"4"	"3"	""	"0"	""	"0"	"0"	"1"	""	"87"	""	"3"	""	"5"	"2"	""	"1"	""	"6"	""	"1"	""	"3"	""	"0"	"1"	""	"3"	"1"	"7"	"1"	""	"2"	""	"13"	""	"351"	""	""
"370"	"178"	""	""	""	""	""	"504"	""	"62"	""	"22"	""	"0"	""	"0"	""	"1"	"0"	"0"	"0"	""	"1"	""	"2"	"0"	"1"	""	"9"	""	"2"	""	"3"	"5"	""	"2"	""	"2"	""	"2"	""	"1"	""	"1"	"2"	""	"1"	"1"	"2"	"0"	""	"1"	""	"14"	""	"641"	""	""
"371"	"Round"	""	""	""	""	""	"1697"	""	"1095"	""	"1325"	""	"57"	""	"44"	""	"29"	"22"	"31"	"39"	""	"34"	""	"331"	"19"	"79"	""	"508"	""	"70"	""	"76"	"66"	""	"51"	""	"65"	""	"32"	""	"51"	""	"14"	"23"	""	"25"	"30"	"28"	"52"	""	"30"	""	"106"	""	"85193"	""	""
"372"	"179"	""	""	""	""	""	"407"	""	"20"	""	"1"	""	"2"	""	"0"	""	"0"	"0"	"0"	"1"	""	"1"	""	"1"	"0"	"0"	""	"1"	""	"1"	""	"0"	"6"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"5"	""	"448"	""	""
"373"	"179"	""	""	"A"	""	""	"328"	""	"4"	""	"3"	""	"1"	""	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"2"	""	"0"	""	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	""	"338"	""	""
"374"	"180"	""	""	""	""	""	"50"	""	"20"	""	"66"	""	"1"	""	"0"	""	"2"	"0"	"2"	"1"	""	"2"	""	"2"	"0"	"2"	""	"70"	""	"1"	""	"1"	"5"	""	"2"	""	"1"	""	"2"	""	"0"	""	"2"	"0"	""	"0"	"3"	"4"	"4"	""	"2"	""	"6"	""	"251"	""	""
"375"	"181"	""	""	""	""	""	"202"	""	"190"	""	"65"	""	"1"	""	"2"	""	"0"	"3"	"1"	"0"	""	"2"	""	"2"	"3"	"0"	""	"14"	""	"9"	""	"9"	"5"	""	"7"	""	"0"	""	"1"	""	"2"	""	"4"	"0"	""	"0"	"2"	"0"	"0"	""	"0"	""	"3"	""	"527"	""	""
"376"	"182"	""	""	""	""	""	"77"	""	"152"	""	"411"	""	"12"	""	"6"	""	"8"	"2"	"3"	"3"	""	"7"	""	"24"	"4"	"0"	""	"16"	""	"16"	""	"10"	"6"	""	"6"	""	"4"	""	"3"	""	"8"	""	"7"	"2"	""	"0"	"1"	"1"	"2"	""	"1"	""	"2"	""	"794"	""	""
"377"	"183"	""	""	""	""	""	"167"	""	"55"	""	"157"	""	"2"	""	"2"	""	"0"	"1"	"1"	"0"	""	"2"	""	"3"	"0"	"2"	""	"9"	""	"10"	""	"2"	"13"	""	"6"	""	"2"	""	"0"	""	"2"	""	"5"	"3"	""	"2"	"1"	"8"	"8"	""	"2"	""	"23"	""	"488"	""	""
"378"	"184"	""	""	""	""	""	"107"	""	"33"	""	"251"	""	"3"	""	"1"	""	"1"	"1"	"1"	"0"	""	"2"	""	"16"	"4"	"2"	""	"12"	""	"6"	""	"1"	"8"	""	"3"	""	"12"	""	"5"	""	"2"	""	"4"	"0"	""	"3"	"2"	"7"	"8"	""	"1"	""	"5"	""	"501"	""	""
"379"	"185"	""	""	""	""	""	"25"	""	"38"	""	"89"	""	"3"	""	"0"	""	"2"	"1"	"0"	"2"	""	"2"	""	"14"	"1"	"1"	""	"76"	""	"0"	""	"1"	"7"	""	"2"	""	"3"	""	"3"	""	"1"	""	"2"	"1"	""	"4"	"2"	"5"	"5"	""	"5"	""	"8"	""	"303"	""	""
"380"	"186"	""	""	""	""	""	"20"	""	"40"	""	"189"	""	"12"	""	"0"	""	"3"	"0"	"3"	"4"	""	"0"	""	"6"	"2"	"2"	""	"66"	""	"4"	""	"4"	"15"	""	"8"	""	"4"	""	"5"	""	"6"	""	"3"	"1"	""	"9"	"1"	"12"	"6"	""	"2"	""	"15"	""	"442"	""	""
"381"	"187"	""	""	""	""	""	"39"	""	"306"	""	"133"	""	"4"	""	"1"	""	"3"	"0"	"1"	"2"	""	"0"	""	"8"	"2"	"1"	""	"17"	""	"5"	""	"4"	"7"	""	"5"	""	"8"	""	"6"	""	"7"	""	"0"	"2"	""	"2"	"9"	"3"	"9"	""	"4"	""	"9"	""	"597"	""	""
"382"	"188"	""	""	""	""	""	"87"	""	"136"	""	"85"	""	"3"	""	"2"	""	"6"	"5"	"5"	"2"	""	"2"	""	"7"	"2"	"1"	""	"18"	""	"70"	""	"5"	"4"	""	"2"	""	"1"	""	"3"	""	"5"	""	"0"	"3"	""	"2"	"1"	"1"	"4"	""	"1"	""	"3"	""	"466"	""	""
"383"	"189"	""	""	""	""	""	"53"	""	"247"	""	"192"	""	"5"	""	"1"	""	"2"	"1"	"4"	"3"	""	"1"	""	"1"	"3"	"3"	""	"11"	""	"3"	""	"4"	"0"	""	"12"	""	"10"	""	"7"	""	"8"	""	"3"	"2"	""	"1"	"1"	"4"	"5"	""	"7"	""	"6"	""	"600"	""	""
"384"	"190"	""	""	""	""	""	"33"	""	"144"	""	"177"	""	"2"	""	"1"	""	"4"	"3"	"2"	"5"	""	"0"	""	"2"	"1"	"1"	""	"16"	""	"3"	""	"5"	"5"	""	"4"	""	"2"	""	"3"	""	"7"	""	"1"	"1"	""	"0"	"2"	"2"	"5"	""	"4"	""	"10"	""	"445"	""	""
"385"	"191"	""	""	""	""	""	"9"	""	"113"	""	"162"	""	"2"	""	"0"	""	"0"	"0"	"1"	"1"	""	"0"	""	"8"	"0"	"0"	""	"7"	""	"1"	""	"0"	"3"	""	"1"	""	"0"	""	"0"	""	"7"	""	"1"	"1"	""	"0"	"1"	"0"	"0"	""	"0"	""	"1"	""	"319"	""	""
"386"	"Round"	""	""	""	""	""	"1604"	""	"1498"	""	"1981"	""	"53"	""	"16"	""	"31"	"17"	"24"	"24"	""	"21"	""	"94"	"22"	"15"	""	"335"	""	"129"	""	"46"	"84"	""	"60"	""	"47"	""	"38"	""	"55"	""	"32"	"16"	""	"23"	"26"	"47"	"56"	""	"29"	""	"96"	""	"91712"	""	""
"387"	"192"	""	""	""	""	""	"47"	""	"161"	""	"83"	""	"7"	""	"0"	""	"1"	"0"	"1"	"1"	""	"23"	""	"6"	"1"	"2"	""	"16"	""	"2"	""	"2"	"14"	""	"3"	""	"2"	""	"10"	""	"13"	""	"1"	"7"	""	"3"	"2"	"5"	"7"	""	"3"	""	"8"	""	"431"	""	""
"388"	"192"	""	""	"A"	""	""	"46"	""	"43"	""	"159"	""	"3"	""	"1"	""	"2"	"4"	"1"	"7"	""	"26"	""	"4"	"2"	"4"	""	"67"	""	"1"	""	"2"	"1"	""	"6"	""	"2"	""	"1"	""	"1"	""	"1"	"0"	""	"1"	"0"	"1"	"5"	""	"1"	""	"6"	""	"398"	""	""
"389"	"193"	""	""	""	""	""	"20"	""	"121"	""	"82"	""	"7"	""	"4"	""	"2"	"1"	"2"	"1"	""	"2"	""	"0"	"2"	"0"	""	"17"	""	"7"	""	"1"	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	"0"	""	"0"	"0"	"0"	"2"	""	"0"	""	"0"	""	"277"	""	""
"390"	"194"	""	""	""	""	""	"24"	""	"113"	""	"34"	""	"1"	""	"1"	""	"3"	"0"	"1"	"1"	""	"3"	""	"0"	"3"	"2"	""	"21"	""	"12"	""	"0"	"3"	""	"0"	""	"2"	""	"1"	""	"0"	""	"0"	"3"	""	"0"	"1"	"2"	"2"	""	"3"	""	"1"	""	"237"	""	""
"391"	"0"	"702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"0"	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"0"	"544"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"0"	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"0"	"505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"0"	"592"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"0"	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"0"	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"0"	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"0"	"637"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"0"	"447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"0"	"79164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"0"	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"0"	"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"0"	"488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"0"	"480"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"0"	"542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"0"	"111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"0"	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"0"	"213"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"0"	"517"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"0"	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"0"	"622"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"0"	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"0"	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"0"	"641"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"0"	"85193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"0"	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"0"	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"0"	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"0"	"527"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"0"	"794"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"0"	"488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"0"	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"0"	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"0"	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"0"	"597"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"0"	"466"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	"0"	"600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"0"	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"0"	"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"0"	"91712"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"0"	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"0"	"398"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"0"	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"0"	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"195"	""	""	""	""	""	"118"	""	"174"	""	"45"	""	"11"	""	"8"	""	"3"	"2"	"4"	"11"	""	"131"	""	"3"	"4"	"3"	""	"31"	""	"7"	""	"2"	"13"	""	"8"	""	"6"	""	"5"	""	"5"	""	"2"	"1"	""	"7"	"3"	"6"	"2"	""	"1"	""	"9"	""	"625"	""	""
"438"	"196"	""	""	""	""	""	"155"	""	"115"	""	"111"	""	"17"	""	"4"	""	"0"	"3"	"4"	"2"	""	"193"	""	"4"	"4"	"2"	""	"12"	""	"5"	""	"2"	"3"	""	"1"	""	"2"	""	"1"	""	"2"	""	"1"	"3"	""	"1"	"0"	"3"	"0"	""	"1"	""	"3"	""	"654"	""	""
"439"	"197"	""	""	""	""	""	"152"	""	"124"	""	"50"	""	"6"	""	"5"	""	"3"	"3"	"7"	"16"	""	"186"	""	"12"	"3"	"4"	""	"8"	""	"13"	""	"9"	"7"	""	"6"	""	"2"	""	"4"	""	"3"	""	"0"	"3"	""	"2"	"1"	"6"	"5"	""	"3"	""	"7"	""	"650"	""	""
"440"	"198"	""	""	""	""	""	"82"	""	"89"	""	"25"	""	"7"	""	"3"	""	"4"	"5"	"5"	"20"	""	"165"	""	"4"	"3"	"6"	""	"13"	""	"7"	""	"5"	"10"	""	"4"	""	"3"	""	"3"	""	"3"	""	"2"	"3"	""	"3"	"3"	"4"	"4"	""	"0"	""	"10"	""	"495"	""	""
"441"	"199"	""	""	""	""	""	"36"	""	"127"	""	"76"	""	"4"	""	"1"	""	"1"	"0"	"1"	"1"	""	"45"	""	"2"	"1"	"1"	""	"4"	""	"1"	""	"3"	"5"	""	"5"	""	"3"	""	"6"	""	"4"	""	"6"	"2"	""	"3"	"0"	"4"	"6"	""	"2"	""	"16"	""	"366"	""	""
"442"	"200"	""	""	""	""	""	"43"	""	"173"	""	"143"	""	"5"	""	"2"	""	"3"	"1"	"1"	"1"	""	"22"	""	"13"	"1"	"3"	""	"7"	""	"1"	""	"2"	"3"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	"0"	""	"0"	"0"	"0"	"10"	""	"0"	""	"2"	""	"438"	""	""
"443"	"201"	""	""	""	""	""	"32"	""	"394"	""	"56"	""	"8"	""	"2"	""	"0"	"6"	"2"	"1"	""	"25"	""	"6"	"3"	"2"	""	"7"	""	"7"	""	"5"	"10"	""	"8"	""	"4"	""	"12"	""	"12"	""	"3"	"1"	""	"2"	"6"	"8"	"4"	""	"14"	""	"10"	""	"650"	""	""
