"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"
"431"	"33"	""	"422"	""	""	""	""	"3"	""	""	""	"46"	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	"1"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"481"	""	""	""	""	""
"432"	"34"	""	"387"	""	""	""	""	"4"	""	""	""	"23"	""	""	"2"	""	""	"2"	""	""	""	"7"	""	""	""	"3"	""	""	"1"	""	""	""	"1"	""	"2"	""	""	""	""	""	""	""	"43"	""	""	""	""	""
"433"	"35"	""	"260"	""	""	""	""	"4"	""	""	""	"234"	""	""	"6"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"501"	""	""	""	""	""
"434"	"36"	""	"140"	""	""	""	""	"0"	""	""	""	"37"	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"181"	""	""	""	""	""
"435"	"37"	""	"328"	""	""	""	""	"1"	""	""	""	"14"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"341"	""	""	""	""	""
"436"	"38"	""	"160"	""	""	""	""	"1"	""	""	""	"24"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"181"	""	""	""	""	""
"437"	"39"	""	"230"	""	""	""	""	"1"	""	""	""	"17"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"251"	""	""	""	""	""
"438"	"40"	""	"401"	""	""	""	""	"4"	""	""	""	"59"	""	""	"·11"	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	"1"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"48"	""	""	""	""	""
"439"	"41"	""	"317"	""	""	""	""	"1"	""	""	""	"47"	""	""	"13"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"381"	""	""	""	""	""
"440"	"42"	""	"326"	""	""	""	""	"3"	""	""	""	"14"	""	""	"7"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"351"	""	""	""	""	""
"441"	"43"	""	"270"	""	""	""	""	"0"	""	""	""	"121"	""	""	"8"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"39!"	""	""	""	""	""
"442"	"44"	""	"394"	""	""	""	""	"4"	""	""	""	"186"	""	""	"9"	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	"4"	""	""	""	"1"	""	"5"	""	""	""	""	""	""	""	"611"	""	""	""	""	""
"443"	"45"	""	"73"	""	""	""	""	"0"	""	""	""	"152"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"221"	""	""	""	""	""
"444"	"46"	""	"365"	""	""	""	""	"1"	""	""	""	"31"	""	""	"5"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"401"	""	""	""	""	""
"445"	"47"	""	"378"	""	""	""	""	"2"	""	""	""	"16"	""	""	"8"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"40"	""	""	""	""	""
"446"	"48"	""	"270"	""	""	""	""	"4"	""	""	""	"6"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"28"	""	""	""	""	""
"447"	"49"	""	"560"	""	""	""	""	"0"	""	""	""	"39"	""	""	"3"	""	""	"6"	""	""	""	"0"	""	""	""	"·O"	""	""	"0"	""	""	""	"2"	""	"2"	""	""	""	""	""	""	""	"61"	""	""	""	""	""
"448"	"50"	""	"436"	""	""	""	""	"4"	""	""	""	"48"	""	""	"11"	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"511"	""	""	""	""	""
"449"	"51"	""	"162"	""	""	""	""	"0"	""	""	""	"23"	""	""	"1"	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	""	"12"	""	""	""	"3"	""	"10"	""	".·"	""	""	""	""	""	"221"	""	""	""	""	""
"450"	"52"	""	"451"	""	""	""	""	"6"	""	""	""	"19"	""	""	"4"	""	""	"0"	""	""	""	"5"	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"491"	""	""	""	""	""
"451"	"53"	""	"349"	""	""	""	""	"4"	""	""	""	"11"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	"1"	""	""	""	""	""	""	""	"371"	""	""	""	""	""
"452"	"54"	""	"389"	""	""	""	""	"0"	""	""	""	"10"	""	""	"1"	""	""	"4"	""	""	""	"1"	""	""	""	"8"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"411"	""	""	""	""	""
"453"	"55"	""	"397"	""	""	""	""	"4"	""	""	""	"193"	""	""	"1"	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	"0"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"60!"	""	""	""	""	""
"454"	"56"	""	"18"	""	""	""	""	"3"	""	""	""	"294"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"311"	""	""	""	""	""
"455"	"57"	""	"488"	""	""	""	""	"9"	""	""	""	"49"	""	""	"5"	""	""	"1"	""	""	""	"2"	""	""	""	"7"	""	""	"0"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"56"	""	""	""	""	""
"456"	"58"	""	"258"	""	""	""	""	"6"	""	""	""	"159"	""	""	"15"	""	""	"8"	""	""	""	"7"	""	""	""	"6"	""	""	"8"	""	""	""	"1"	""	"8"	""	""	""	""	""	""	""	"471"	""	""	""	""	""
"457"	"59"	""	"217"	""	""	""	""	"3"	""	""	""	"39"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"{)"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"261"	""	""	""	""	""
"458"	"60"	""	"369"	""	""	""	""	"0"	""	""	""	"31"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"{)"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"40"	""	""	""	""	""
"459"	"61"	""	"400"	""	""	""	""	"9"	""	""	""	"86"	""	""	"9"	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	"51!"	""	""	""	""	""
"460"	"62"	""	"271"	""	""	""	""	"2"	""	""	""	"111"	""	""	"8"	""	""	"41"	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	"4"	""	"6"	""	""	""	""	""	""	""	"45("	""	""	""	""	""
"461"	"63"	""	"171"	""	""	""	""	"6"	""	""	""	"273"	""	""	"6"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"451"	""	""	""	""	""
"462"	"64"	""	"379"	""	""	""	""	"4"	""	""	""	"34"	""	""	"15"	""	""	"8"	""	""	""	"4"	""	""	""	"6"	""	""	"7"	""	""	""	"2"	""	"8"	""	""	""	""	""	""	""	"46"	""	""	""	""	""
"463"	"Printed  Using RO/ARO Counting Tool Ver. l.O of National Informal/cs Centre.Blhar                                                                                                              Page I  of 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"ament Constituency :33-· BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	"ssembly Constituency :210-·Dinara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"466"	"Candidates     e                                                      Nnof valid vnte r.aste In favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"467"	"Form -20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"468"	"No of Voters :229181"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"469"	"Name         Q .-.                                          z          z                                     a::                                                     Cl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"470"	"···>      -.=..  ...:.                                 !::            fl)                     <(                0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"471"	"<::e                                              >"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"472"	"\"' t::      0               :::c                     0z          <(                 z                        a::           ::::>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"473"	":5!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"474"	"<(                 (!)                   0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"475"	"cS  .._...    ::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"<(                 Q.                                                 a::"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"477"	"z          ::e"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"478"	"BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"479"	"cf  >-           z                       <(                                        ::::>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"480"	"U)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"481"	":::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"482"	"(!)                                        ::c           z      0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"483"	"z                                                  z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"z ::.:::                   ::.:: >-       0  -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"485"	"N.O         -l=).I) .<.J"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	"z          m           :5                  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"w       ffi t:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"488"	"..."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"489"	"= Eo--"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"490"	"U)                 <(                                                               w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"491"	"0                                   ::::>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"492"	"..J  I-          0               z co      a:: <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"493"	">         ::::>  :::,        ::::>  :::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"494"	"...."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"495"	"v          = E--                       0               Q.                     Q.                                                                             =       U, O          fl)  co"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	"I                15              16           17           us        19              20           21      fl)  II                 23           24           :l'l             ?F..                '27           28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"497"	"65               417          11         109            5            5            6            4             1             1            1                                                       56("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"66               173           0           79             0             1            0             1            0            0            0                                                       25,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"67               124           3           78            7             0             0             2             0             1            1                                                       21!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"68              276            4         124            2             0             1             2             0             1            0                                                       41("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	"69.              108           2         135             1             1             1             1            0            0             0                                                       24!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"70               354            5           22             9             2             5          22             3            2           10                                                       43-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"503"	"71               147           0           38            0            0             1            0            0             0             0                                                        18!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	"72               436           3           28             9             3            0             3            2             3            4                                                       491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	"73               387            5            6             1            1            0             0             0             0            0                                                       40("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"74               420            1            4             7             1            0               0             4             2             1                                                       44("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	"75              676            3           10            5             1            2             3            0             0             3                                                       70.:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"76               581           6           25             8            2             1            4             1            0            4                                                       63,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"509"	"77               405'           7           43             9             1            2             4             0            0             2                                                       47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"510"	"78               392            1            8            7             2             4             2             2             1            2                                                       421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"79               428            0           26             1             1            0             2             0             0             0                                                       451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	"80              481           3           54            2             6             2             2             3            0             0                                                       55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"81               558            1         141            2             3            6             0            2             3            2                                                       rn"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"82               277            0            2             1            0             0             0             0             0            0                                                       28("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"83              421            3           67             8           0             5             0             2            -2             1                                                       sos"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"84              376            1            5            0             4             1             2             3            0             3                                                       39!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"85              453            1           59            2             0             5            4             5            2             2                                                       53,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"86              279            1            4             1            9             3            0            2             1            1                                                       301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"87               576            2             9            2             1            7           16            2            0             3                                                       611"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	"88               519           2           16            4             0            0             0            0             0             2                                                       54,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"89              455            3           76             1            7             2             1            0             2             1                                                       541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"90               364            1          24             5            0             0             1            4             0             1                                                       40("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"91               198           2           17            0             0             0             0             0             0             1                                                       211"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"92               377            4             7             2             3'            1             1            3            1            3                                                       40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	"93               359            1           20             1            3    '    1             2             0             1            1                                                       38("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"94               378           2           31            2             0             1            1            0            0             0                                                       41E"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"95               409            8            2             2             0             1            3            0             1            0                                                       42!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"528"	"96                74            1         260             1            0             5            0            0             0             1                                                       34,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"97               234            3         178            7             1            0      '        0            0             0           19                                                       44,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"530"	"98              263           0            3            4             0             5            2            2             0             1                                                       28("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"99                                1            4             6             0             0             3             1            0            0                                                       48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"532"	"100    ..., -  - 4.32           2             2             2             1            2             1             1             1            1                                                       44!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"533"	"101              244            1            8             1            0             2             0             1            0             0                                                       25,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"534"	"102        -   302           6         101             6             0             2           13            2             0             1                                                       43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"535"	"103             537           2           34             6             1           8             1            0             0             2                                                       591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"536"	"104             350            2           13            0             0             0             0             0             0             1                                                       36l"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"537"	"105              175           0           53            2             0             3             1             1            0            0                                                       23E"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"538"	"106              159           2             7             0             0             0             0             0            0            0                                                       161"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"539"	"107              174           0           10            0             1            4             0             2             2             4                                                       19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"540"	"108              231           4           69             3             1             1             0             0            0             0                                                       30("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"541"	"109              362            0            6            0            0            0             0            0            0             0                                                       36E"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
