"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"
"80"	"46                 3             94             0            86             1             2             0              1            2              0              1           0             2            192"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"47                   2             11             0            14           53             0             0            1            0              0              0              4             1             86"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"48                  14             56         121           157             1             0              1             6             1             0              4              0             0           361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"49                   2             29            0              3            0              0              0              1             0             0             1             1            0             37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"50                   9             10         212            79             1             6              1             0             0              1             0              0             0           319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"51                   5               1         162            11             1             3             0              1             1             0              6             0             0            191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"52                   3              9          181             5            0              1             0              0             0              0             '()                0             0           199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"53                   2             23          124            61             3             0              0              1             1             0              0           . 0             1           216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"54                  8              5         130            74             4              2              1             2             4              2          46              0             4            282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"55                 28             39          158           84           5             3             6              6            65              5           75              1             1           476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"56                0              4             0          624             1             0              0              1             0              0              1             0             1           632"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"57      12             60         124            37             0              1             1             2             0              0           17             1             1           256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"58               21           135         146            55             1             0              0              1            0              2            25              1            2            389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"59                 33           115         1.19            13            2              1             3             7             3             4           120             3            4            427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"60                   6             46          216            23            1             0              1              1             1            0            24              0             1           320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"61                  19             98             8          202             4              0              3              2             0              1             7             0             0           344"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"62                   5           138             5            12            0              1            0              2             0              0              1             0             1          165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"63                35             15         207            21          182             2              0              2             5              3            11             3             5           491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"64                 9           124          148            21             4              3             1             2             2              2            15             1           1           333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	",.Prinled Usmg RO/AROCoullllng Tool Ver. 1.0 of Na//Ollal lnjormallcs Centre,B,har                                                                                                               Page 1 o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"\"'  ,onstituency:33--BUXAR                                                                                                                              Form-20  (Part- -A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"bly Constituency:201-Dumraon                                                                                                                           No of Voters:221301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Candidates Name
->
BOOTH
N...O
vI"	""	""	""	""	"No of valid votes caste Infavour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	":ft
J
\"O
Ofli t:
..... efl:S."	""	""	""	""	""	""	""	""
"103"	""	""	""	""	""	"I-"	""	""	""	""	"0
<z · z
<"	""	""	""	""	"z>w
:::e> ::>
IQ
:s i"	""	""	""	""	":::c
c.,
z
in
:s!
.
(I)  ::,c:"	""	""	""	""	""	":e
z
0 (I)
:e !E"	""	""	""	""	"::J:
<
(I)
z
0:e"	""	""	":c
c.,
z
in
o
Z a:
w  ::>"	""	""	""	"z 0..
!ij ::>
>  ::J:
ci
o z"	""	""	""	"ii: iii
:e
::c c
(I)  IQ"	""	""	""	".,
0
0z
w"	""	""	""	"0"	""	""	"w
0
;
::J:
(I)
aw:
::,
(I)"	""	""	":::c
1f1c::>
_,J
:e o
Q"	""	""	""	""	""	""	""	""	""	""	""
"104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0..
c3
::,
(I)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	""	""	""	""	""	"i .
!"	""	""	""	""	"-    ::c
c., c.,
<
-, (I)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"]"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	":,"	""	""	""	""	""	"(>"	""	""	""	"7"	""	""	""	"lS"	""	""	""	"!I"	""	""	""	"IO"	""	""	""	"II"	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""	""	""
"107"	"65"	""	""	""	"8"	""	""	""	""	""	"165"	""	""	""	""	"139"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"15"	""	""	""	"1"	""	""	"0"	""	""	"339"	""	""	""	""	""	""	""	""
"108"	"66"	""	""	""	"7"	""	""	""	""	""	"45"	""	""	""	""	"138"	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"5"	""	""	""	"0"	""	""	"0"	""	""	"203"	""	""	""	""	""	""	""	""
"109"	"67"	""	""	""	"12"	""	""	""	""	""	"114"	""	""	""	""	"85"	""	""	""	""	"127"	""	""	""	""	""	"87"	""	""	""	"3"	""	""	""	"0"	""	""	""	"3"	""	""	""	"5"	""	""	""	"3"	""	""	"7"	""	""	""	"1"	""	""	"4"	""	""	"451"	""	""	""	""	""	""	""	""
"110"	"68"	""	""	""	"10"	""	""	""	""	""	"147"	""	""	""	""	"126"	""	""	""	""	"162"	""	""	""	""	""	"14"	""	""	""	"6"	""	""	""	"5"	""	""	""	"6"	""	""	""	"2"	""	""	""	"0"	""	""	"7"	""	""	""	"1"	""	""	"12"	""	""	"498"	""	""	""	""	""	""	""	""
"111"	"69"	""	""	""	"7"	""	""	""	""	""	"33"	""	""	""	""	"186"	""	""	""	""	"18"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	"8"	""	""	""	"0"	""	""	"0"	""	""	"260"	""	""	""	""	""	""	""	""
"112"	"70"	""	""	""	"9"	""	""	""	""	""	"84"	""	""	""	""	"117"	""	""	""	""	"29"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	"247"	""	""	""	""	""	""	""	""
"113"	"71"	""	""	""	"2"	""	""	""	""	""	"171"	""	""	""	""	"65"	""	""	""	""	"39"	""	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"7"	""	""	""	"0"	""	""	"3"	""	""	"293"	""	""	""	""	""	""	""	""
"114"	"72"	""	""	""	"7"	""	""	""	""	""	"60"	""	""	""	""	"153 ,.."	""	""	""	""	""	""	""	"43"	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	""	"2"	""	""	"1"	""	""	"281"	""	""	""	""	""	""	""	""
"115"	"73"	""	""	""	"15"	""	""	""	""	""	"117"	""	""	""	""	"152"	""	""	""	""	"67"	""	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"5"	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	"371"	""	""	""	""	""	""	""	""
"116"	"74"	""	""	""	"5"	""	""	""	""	""	"29"	""	""	""	""	"129"	""	""	""	""	"16"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	">"	""	"0"	""	"0"	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	"187"	""	""	""	""	""	""	""	""
"117"	"75"	""	""	""	"22"	""	""	""	""	""	"38"	""	""	""	""	"194"	""	""	""	""	"29"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	"289"	""	""	""	""	""	""	""	""
"118"	"76"	""	""	""	"4"	""	""	""	""	""	"122"	""	""	""	""	"136"	""	""	""	""	"33"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	"4"	""	""	""	"2"	""	""	"1"	""	""	"312"	""	""	""	""	""	""	""	""
"119"	"77"	""	""	""	"7"	""	""	""	""	""	"46"	""	""	""	""	"223"	""	""	""	""	"10"	""	""	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	"31"	""	""	""	"0"	""	""	"1"	""	""	"332"	""	""	""	""	""	""	""	""
"120"	"78"	""	""	""	"6"	""	""	""	""	""	"52"	""	""	""	""	"118"	""	""	""	""	"21"	""	""	""	""	""	"65"	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"15"	""	""	""	"2"	""	""	"1"	""	""	"288"	""	""	""	""	""	""	""	""
"121"	"79"	""	""	""	"8"	""	""	""	""	""	"82"	""	""	""	""	"171"	""	""	""	""	"96"	""	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"10"	""	""	""	"1"	""	""	"5"	""	""	"382"	""	""	""	""	""	""	""	""
"122"	"80"	""	""	""	"11"	""	""	""	""	""	"38"	""	""	""	""	"101"	""	""	""	""	"60"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	"216"	""	""	""	""	""	""	""	""
"123"	"81"	""	""	""	"20"	""	""	""	""	""	"69"	""	""	""	""	"146"	""	""	""	""	"52"	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	"14"	""	""	""	"0"	""	""	"5"	""	""	"319"	""	""	""	""	""	""	""	""
"124"	"82"	""	""	""	"17"	""	""	""	""	""	"96"	""	""	""	""	"204"	""	""	""	""	"52"	""	""	""	""	""	"11"	""	""	""	"!>"	""	""	""	"0"	""	""	""	"4"	""	""	""	"1"	""	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	"4"	""	""	"404"	""	""	""	""	""	""	""	""
"125"	"83"	""	""	""	"20"	""	""	""	""	""	"80"	""	""	""	""	"139"	""	""	""	""	"35"	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	"5"	""	""	""	"4"	""	""	""	"0"	""	""	"44"	""	""	""	"2"	""	""	"4"	""	""	"340"	""	""	""	""	""	""	""	""
"126"	"84"	""	""	""	"19"	""	""	""	""	""	"28"	""	""	""	""	"178"	""	""	""	""	"55"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"7"	""	""	""	"0"	""	""	"2"	""	""	"291"	""	""	""	""	""	""	""	""
"127"	"85"	""	""	""	"11"	""	""	""	""	""	"55"	""	""	""	""	"188"	""	""	""	""	"88"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	""	"1"	""	""	"0"	""	""	"350"	""	""	""	""	""	""	""	""
"128"	"86"	""	""	""	"5"	""	""	""	""	""	"104"	""	""	""	""	"120"	""	""	""	""	"69"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	"22"	""	""	""	"3"	""	""	"4"	""	""	"335"	""	""	""	""	""	""	""	""
"129"	"87"	""	""	""	"20"	""	""	""	""	""	"141"	""	""	""	""	"121"	""	""	""	""	"106"	""	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	"8"	""	""	""	"0"	""	""	"2"	""	""	"416"	""	""	""	""	""	""	""	""
"130"	"88"	""	""	""	"8"	""	""	""	""	""	"27"	""	""	""	""	"196"	""	""	""	""	"171"	""	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"4"	""	""	""	"10"	""	""	""	"3"	""	""	""	"4"	""	""	"141"	""	""	""	"1"	""	""	"2"	""	""	"574"	""	""	""	""	""	""	""	""
"131"	"89"	""	""	""	"20"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"141"	""	""	""	""	""	"162"	""	""	""	"5"	""	""	""	"3"	""	""	""	"4"	""	""	""	"3"	""	""	""	"0"	""	""	"10"	""	""	""	"3"	""	""	"4"	""	""	"380"	""	""	""	""	""	""	""	""
"132"	"90"	""	""	""	"3"	""	""	""	""	""	"81"	""	""	""	""	"17"	""	""	""	""	"100"	""	""	""	""	""	"11"	""	""	""	"21"	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	"1"	""	""	"73"	""	""	""	"3"	""	""	"2"	""	""	"325"	""	""	""	""	""	""	""	""
