"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"338"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"339"	"3"	"269"	"0"	"0"	"117"	"7"	"1"	"7"	"0"	"2"	"55"	"3"	"0"	"2"	"0"	"1"	"0"	"1"	"196"	""	"196"	""	""
"340"	"4"	"270"	"9"	"0"	"266"	"7"	"1"	"3"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"291"	""	"291"	""	""
"341"	"5"	"271"	"110"	"11"	"87"	"73"	"8"	"19"	"0"	"4"	"48"	"2"	"3"	"2"	"2"	"5"	"2"	"4"	"380"	""	"380"	""	""
"342"	"6"	"272"	"40"	"20"	"34"	"172"	"14"	"9"	"2"	"4"	"58"	"3"	"6"	"4"	"14"	"5"	"3"	"5"	"393"	""	"393"	""	""
"343"	"7"	"273"	"81"	"2"	"51"	"119"	"3"	"2"	"0"	"1"	"2"	"3"	"5"	"2"	"7"	"2"	"1"	"4"	"285"	""	"285"	""	""
"344"	"8"	"274"	"108"	"30"	"129"	"69"	"6"	"5"	"2"	"2"	"13"	"3"	"7"	"5"	"8"	"22"	"10"	"32"	"451"	""	"451"	""	""
"345"	"9"	"275"	"145"	"1"	"68"	"168"	"4"	"7"	"0"	"0"	"5"	"1"	"11"	"1"	"2"	"2"	"8"	"16"	"439"	""	"439"	""	""
"346"	"10"	"276"	"56"	"6"	"196"	"62"	"5"	"2"	"0"	"0"	"16"	"0"	"2"	"1"	"1"	"4"	"1"	"2"	"354"	""	"354"	""	""
"347"	"11"	"277"	"24"	"111"	"53"	"182"	"7"	"7"	"0"	"0"	"29"	"2"	"0"	"0"	"1"	"1"	"4"	"0"	"421"	""	"421"	""	""
"348"	"12"	"278"	"134"	"12"	"67"	"61"	"4"	"11"	"0"	"0"	"3"	"0"	"5"	"0"	"2"	"1"	"1"	"0"	"301"	""	"301"	""	""
"349"	"13"	"279"	"10"	"1"	"81"	"22"	"6"	"69"	"1"	"4"	"145"	"5"	"2"	"3"	"6"	"4"	"3"	"4"	"366"	""	"366"	""	""
"350"	"14"	"280"	"87"	"7"	"121"	"30"	"14"	"39"	"1"	"5"	"163"	"7"	"6"	"2"	"5"	"2"	"3"	"5"	"497"	""	"497"	""	""
"351"	"<U+092F><U+094B><U+0917>"	""	"845"	"224"	"1702"	"1072"	"75"	"187"	"6"	"22"	"556"	"33"	"48"	"23"	"50"	"50"	"36"	"77"	"5006"	"0"	"5006"	"0"	"0"
"352"	"1"	"281"	"69"	"31"	"116"	"111"	"11"	"24"	"0"	"3"	"35"	"0"	"7"	"3"	"2"	"5"	"4"	"14"	"435"	""	"435"	""	""
"353"	"2"	"282"	"1"	"0"	"0"	"669"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"670"	""	"670"	""	""
"354"	"3"	"283"	"40"	"16"	"87"	"825"	"2"	"3"	"0"	"1"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"3"	"986"	""	"986"	""	""
"355"	"4"	"284"	"19"	"6"	"202"	"83"	"2"	"120"	"0"	"0"	"24"	"3"	"5"	"1"	"2"	"1"	"1"	"4"	"473"	""	"473"	""	""
"356"	"5"	"285"	"241"	"2"	"52"	"22"	"0"	"16"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"12"	"0"	"4"	"351"	""	"351"	""	""
"357"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"358"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"359"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"360"	"6"	"286"	"111"	"2"	"160"	"74"	"1"	"14"	"2"	"0"	"10"	"0"	"1"	"1"	"1"	"4"	"0"	"1"	"382"	""	"382"	""	""
"361"	"7"	"287"	"61"	"2"	"153"	"26"	"7"	"45"	"4"	"0"	"70"	"4"	"7"	"1"	"3"	"3"	"2"	"8"	"396"	""	"396"	""	""
"362"	"8"	"288"	"81"	"23"	"132"	"44"	"8"	"24"	"1"	"5"	"99"	"9"	"7"	"3"	"7"	"13"	"5"	"16"	"477"	""	"477"	""	""
"363"	"9"	"289"	"148"	"2"	"134"	"13"	"9"	"9"	"0"	"5"	"91"	"2"	"6"	"0"	"3"	"1"	"1"	"2"	"426"	""	"426"	""	""
"364"	"10"	"290"	"3"	"5"	"513"	"16"	"0"	"1"	"0"	"1"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"554"	""	"554"	""	""
"365"	"<U+092F><U+094B><U+0917>"	""	"774"	"89"	"1549"	"1883"	"40"	"256"	"8"	"15"	"349"	"18"	"34"	"10"	"19"	"41"	"13"	"52"	"5150"	"0"	"5150"	"0"	"0"
