"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"239"	"128"	"360"	""	"57"	""	""	"15"	""	""	""	""	"22"	""	""	""	""	"163"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"9"	""	""	""	"19"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"2"	""	""	"36"	""	""	""	""	"703"	""	""	""	""	""	"0"	""	""	""	""	""	""	"703"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"129"	"227"	""	"10"	""	""	"53"	""	""	""	""	"57"	""	""	""	""	"136"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"1"	""	""	"14"	""	""	""	""	"517"	""	""	""	""	""	"0"	""	""	""	""	""	""	"517"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"130"	"281"	""	"91"	""	""	"11"	""	""	""	""	"2"	""	""	""	""	"78"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	"8"	""	""	""	""	"486"	""	""	""	""	""	"0"	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"131"	"28"	""	"97"	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"192"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	""	""	"341"	""	""	""	""	""	"0"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"132"	"117"	""	"43"	""	""	"82"	""	""	""	""	"25"	""	""	""	""	"386"	""	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"0"	""	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"2"	""	""	"8"	""	""	""	""	"685"	""	""	""	""	""	"0"	""	""	""	""	""	""	"685"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"133"	"127"	""	"55"	""	""	"11"	""	""	""	""	"48"	""	""	""	""	"30"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"7"	""	""	"26"	""	""	""	""	"322"	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"134"	"113"	""	"163"	""	""	"79"	""	""	""	""	"6"	""	""	""	""	"139"	""	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"5"	""	""	""	"13"	""	""	""	"13"	""	""	""	""	"12"	""	""	""	"6"	""	""	"14"	""	""	""	""	"574"	""	""	""	""	""	"0"	""	""	""	""	""	""	"574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"135"	"22"	""	"222"	""	""	"113"	""	""	""	""	"10"	""	""	""	""	"32"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"11"	""	""	""	"6"	""	""	"14"	""	""	""	""	"443"	""	""	""	""	""	"0"	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"136"	"267"	""	"10"	""	""	"18"	""	""	""	""	"20"	""	""	""	""	"23"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"2"	""	""	"11"	""	""	""	""	"364"	""	""	""	""	""	"0"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"137"	"37"	""	"56"	""	""	"122"	""	""	""	""	"52"	""	""	""	""	"82"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	"23"	""	""	""	"16"	""	""	"21"	""	""	""	""	"428"	""	""	""	""	""	"0"	""	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"138"	"77"	""	"227"	""	""	"36"	""	""	""	""	"46"	""	""	""	""	"49"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"3"	""	""	"25"	""	""	""	""	"473"	""	""	""	""	""	"0"	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"139"	"66"	""	"10"	""	""	"38"	""	""	""	""	"5"	""	""	""	""	"61"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	"8"	""	""	""	""	"193"	""	""	""	""	""	"0"	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Total:-"	"1872"	""	"1162"	""	""	"775"	""	""	""	""	"669"	""	""	""	""	"1661"	""	""	""	""	""	"34"	""	""	""	""	"59"	""	""	""	"15"	""	""	""	"23"	""	""	""	"88"	""	""	""	"57"	""	""	""	""	"78"	""	""	""	"54"	""	""	"215"	""	""	""	""	"-6762"	""	""	""	""	""	""	""	""	""	""	""	""	"-6762"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Election to the Bihar Legislative Assembly Election - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Round  No.12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"259"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"261"	"139A"	""	"120"	""	"73"	""	""	"23"	""	""	""	""	"5"	""	""	""	""	""	"114"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	"8"	""	""	""	"362"	""	""	""	""	""	""	"0"	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"140"	""	"37"	""	"269"	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	"11"	""	""	""	"363"	""	""	""	""	""	""	"0"	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"140A"	""	"16"	""	"125"	""	""	"18"	""	""	""	""	"34"	""	""	""	""	""	"64"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	"6"	""	""	""	"275"	""	""	""	""	""	""	"0"	""	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"141"	""	"55"	""	"190"	""	""	"26"	""	""	""	""	"10"	""	""	""	""	""	"214"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	"14"	""	""	""	"535"	""	""	""	""	""	""	"0"	""	""	""	""	""	"535"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"142"	""	"40"	""	"56"	""	""	"240"	""	""	""	""	"9"	""	""	""	""	""	"70"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	"12"	""	""	""	"454"	""	""	""	""	""	""	"0"	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"142A"	""	"50"	""	"72"	""	""	"191"	""	""	""	""	"8"	""	""	""	""	""	"23"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	"19"	""	""	""	"408"	""	""	""	""	""	""	"0"	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"143"	""	"50"	""	"142"	""	""	"38"	""	""	""	""	"84"	""	""	""	""	""	"23"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"5"	""	""	""	"351"	""	""	""	""	""	""	"0"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"144"	""	"45"	""	"124"	""	""	"14"	""	""	""	""	"6"	""	""	""	""	""	"78"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	"7"	""	""	""	"289"	""	""	""	""	""	""	"0"	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"1454"	""	"51"	""	"219"	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	"285"	""	""	""	""	""	""	"0"	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"146"	""	"35"	""	"342"	""	""	"84"	""	""	""	""	"20"	""	""	""	""	""	"82"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"11"	""	""	""	"591"	""	""	""	""	""	""	"0"	""	""	""	""	""	"591"	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"147"	""	"82"	""	"30"	""	""	"30"	""	""	""	""	"26"	""	""	""	""	""	"145"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"6"	""	""	""	"338"	""	""	""	""	""	""	"0"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"148"	""	"48"	""	"57"	""	""	"150"	""	""	""	""	"12"	""	""	""	""	""	"26"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	"4"	""	""	""	"316"	""	""	""	""	""	""	"0"	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"149"	""	"119"	""	"85"	""	""	"24"	""	""	""	""	"2"	""	""	""	""	""	"70"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	"13"	""	""	""	"338"	""	""	""	""	""	""	"0"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"150"	""	"70"	""	"62"	""	""	"12"	""	""	""	""	"30"	""	""	""	""	""	"97"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"11"	""	""	""	"293"	""	""	""	""	""	""	"0"	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total:-"	""	"818"	""	"1846"	""	""	"861"	""	""	""	""	"246"	""	""	""	""	""	"1030"	""	""	""	""	""	"38"	""	""	""	""	"15"	""	""	""	"14"	""	""	""	"19"	""	""	""	"41"	""	""	""	""	"38"	""	""	""	""	"57"	""	""	""	""	"45"	""	""	"130"	""	""	""	"-5198"	""	""	""	""	""	""	""	""	""	""	""	""	"-5198"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Round  No.13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""	""
"283"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	""	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""	""
"285"	"151"	"27"	""	"138"	""	""	"72"	""	""	""	"3"	""	""	""	""	"114"	""	""	""	""	""	"12"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"13"	""	""	""	"5"	""	"4"	""	""	""	""	"402"	""	""	""	""	""	"0"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"152"	"30"	""	"35"	""	""	"58"	""	""	""	"45"	""	""	""	""	"414"	""	""	""	""	""	"14"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	"6"	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"7"	""	"38"	""	""	""	""	"686"	""	""	""	""	""	"0"	""	""	""	""	""	""	"686"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"153"	"49"	""	"120"	""	""	"176"	""	""	""	"13"	""	""	""	""	"80"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"7"	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"12"	""	""	""	"7"	""	"19"	""	""	""	""	"501"	""	""	""	""	""	"0"	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"153A"	"56"	""	"45"	""	""	"82"	""	""	""	"9"	""	""	""	""	"29"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"16"	""	""	""	"0"	""	"3"	""	""	""	""	"250"	""	""	""	""	""	"0"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"154"	"90"	""	"92"	""	""	"54"	""	""	""	"216"	""	""	""	""	"22"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	"9"	""	""	""	""	"492"	""	""	""	""	""	"0"	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"155"	"33"	""	"362"	""	""	"6"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	"409"	""	""	""	""	""	"0"	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"156"	"117"	""	"88"	""	""	"22"	""	""	""	"58"	""	""	""	""	"96"	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"6"	""	""	""	"10"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"7"	""	"13"	""	""	""	""	"433"	""	""	""	""	""	"0"	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"157"	"69"	""	"90"	""	""	"15"	""	""	""	"13"	""	""	""	""	"141"	""	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	"5"	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"6"	""	"20"	""	""	""	""	"392"	""	""	""	""	""	"0"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"158"	"36"	""	"128"	""	""	"250"	""	""	""	"21"	""	""	""	""	"39"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"11"	""	""	""	"9"	""	"14"	""	""	""	""	"533"	""	""	""	""	""	"0"	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"159"	"16"	""	"17"	""	""	"110"	""	""	""	"12"	""	""	""	""	"119"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"0"	""	"4"	""	""	""	""	"293"	""	""	""	""	""	"0"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"159A"	"53"	""	"13"	""	""	"186"	""	""	""	"155"	""	""	""	""	"64"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	""	"9"	""	""	""	""	"15"	""	""	""	"5"	""	"31"	""	""	""	""	"549"	""	""	""	""	""	"0"	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"160"	"247"	""	"6"	""	""	"76"	""	""	""	"1"	""	""	""	""	"12"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	"2"	""	""	""	""	"346"	""	""	""	""	""	"0"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"161"	"40"	""	"14"	""	""	"50"	""	""	""	"8"	""	""	""	""	"72"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"11"	""	""	""	"5"	""	"15"	""	""	""	""	"228"	""	""	""	""	""	"0"	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"162"	"24"	""	"13"	""	""	"18"	""	""	""	"11"	""	""	""	""	"275"	""	""	""	""	""	"29"	""	""	""	""	"16"	""	""	""	"11"	""	""	""	"8"	""	""	""	"8"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	"6"	""	""	""	""	"421"	""	""	""	""	""	"0"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Total:-"	"887"	""	"1161"	""	""	"1175"	""	""	""	"565"	""	""	""	""	"1484"	""	""	""	""	""	"83"	""	""	""	""	"56"	""	""	""	"35"	""	""	""	"44"	""	""	""	"71"	""	""	""	"40"	""	""	""	""	"102"	""	""	""	"53"	""	"179"	""	""	""	""	"-5935"	""	""	""	""	""	""	""	""	""	""	""	""	"-5935"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
