"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"290"	"6"	"300"	""	"86"	""	""	"5012"	""	""	""	"1493"	""	""	""	""	""	""	"82"	""	""	""	""	""	"119"	""	""	""	""	""	"48"	""	""	""	""	"132"	""	""	""	"7272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"7"	"260"	""	"277"	""	""	"4000"	""	""	""	"2246"	""	""	""	""	""	""	"91"	""	""	""	""	""	"89"	""	""	""	""	""	"53"	""	""	""	""	"90"	""	""	""	"7106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"8"	"302"	""	"65"	""	""	"3080"	""	""	""	"1336"	""	""	""	""	""	""	"125"	""	""	""	""	""	"90"	""	""	""	""	""	"79"	""	""	""	""	"148"	""	""	""	"5225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"9"	"369"	""	"83"	""	""	"3830"	""	""	""	"2027"	""	""	""	""	""	""	"91"	""	""	""	""	""	"84"	""	""	""	""	""	"79"	""	""	""	""	"86"	""	""	""	"6649"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"10"	"613"	""	"87"	""	""	"1918"	""	""	""	"3010"	""	""	""	""	""	""	"67"	""	""	""	""	""	"32"	""	""	""	""	""	"66"	""	""	""	""	"75"	""	""	""	"5868"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"11"	"255"	""	"91"	""	""	"3280"	""	""	""	"4038"	""	""	""	""	""	""	"139"	""	""	""	""	""	"86"	""	""	""	""	""	"53"	""	""	""	""	"104"	""	""	""	"8046"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"12"	"241"	""	"88"	""	""	"3033"	""	""	""	"3599"	""	""	""	""	""	""	"110"	""	""	""	""	""	"81"	""	""	""	""	""	"64"	""	""	""	""	"99"	""	""	""	"7315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"13"	"127"	""	"52"	""	""	"1652"	""	""	""	"5097"	""	""	""	""	""	""	"101"	""	""	""	""	""	"51"	""	""	""	""	""	"46"	""	""	""	""	"50"	""	""	""	"7176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"14"	"228"	""	"86"	""	""	"3424"	""	""	""	"3016"	""	""	""	""	""	""	"123"	""	""	""	""	""	"97"	""	""	""	""	""	"68"	""	""	""	""	"100"	""	""	""	"7142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"15"	"175"	""	"40"	""	""	"1014"	""	""	""	"1929"	""	""	""	""	""	""	"92"	""	""	""	""	""	"39"	""	""	""	""	""	"32"	""	""	""	""	"47"	""	""	""	"3368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total"	"4556"	""	"1696"	""	""	"44131"	""	""	""	"43026"	""	""	""	""	""	""	"1560"	""	""	""	""	""	"1115"	""	""	""	""	""	"906"	""	""	""	""	"1379"	""	""	""	"98369"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
