"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"414"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 16
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"423"	"-200"	""	"258"	""	"5"	""	"12"	""	""	"3"	""	""	"52"	""	""	"10"	""	""	""	"1"	""	""	"2"	""	""	"13"	""	""	"356"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""
"424"	"-201"	""	"34"	""	"0"	""	"190"	""	""	"23"	""	""	"9"	""	""	"4"	""	""	""	"5"	""	""	"3"	""	""	"6"	""	""	"274"	""	""	""	""	""	""	""	"274"	""	""	""	""	""	""	""	""	""	""
"425"	"-202"	""	"137"	""	"5"	""	"78"	""	""	"18"	""	""	"125"	""	""	"22"	""	""	""	"20"	""	""	"6"	""	""	"11"	""	""	"422"	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""
"426"	"-203"	""	"308"	""	"8"	""	"75"	""	""	"50"	""	""	"23"	""	""	"12"	""	""	""	"12"	""	""	"2"	""	""	"19"	""	""	"509"	""	""	""	""	""	""	""	"509"	""	""	""	""	""	""	""	""	""	""
"427"	"-204"	""	"87"	""	"5"	""	"84"	""	""	"24"	""	""	"44"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	"9"	""	""	"258"	""	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""
"428"	"-205"	""	"8"	""	"9"	""	"214"	""	""	"31"	""	""	"92"	""	""	"4"	""	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"367"	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""
"429"	"-206"	""	"6"	""	"0"	""	"231"	""	""	"1"	""	""	"14"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"253"	""	""	""	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""
"430"	"-207"	""	"235"	""	"6"	""	"55"	""	""	"37"	""	""	"103"	""	""	"7"	""	""	""	"7"	""	""	"5"	""	""	"15"	""	""	"470"	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""
"431"	"-208"	""	"155"	""	"6"	""	"185"	""	""	"53"	""	""	"74"	""	""	"5"	""	""	""	"8"	""	""	"2"	""	""	"9"	""	""	"497"	""	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""
"432"	"-209"	""	"86"	""	"5"	""	"173"	""	""	"14"	""	""	"40"	""	""	"1"	""	""	""	"5"	""	""	"4"	""	""	"6"	""	""	"334"	""	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""
"433"	"-210"	""	"282"	""	"8"	""	"118"	""	""	"17"	""	""	"47"	""	""	"6"	""	""	""	"3"	""	""	"1"	""	""	"7"	""	""	"489"	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""
"434"	"-211"	""	"196"	""	"6"	""	"63"	""	""	"11"	""	""	"136"	""	""	"10"	""	""	""	"13"	""	""	"7"	""	""	"15"	""	""	"457"	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""
"435"	"-212"	""	"145"	""	"4"	""	"118"	""	""	"25"	""	""	"99"	""	""	"8"	""	""	""	"8"	""	""	"2"	""	""	"12"	""	""	"421"	""	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""
"436"	"-213"	""	"16"	""	"2"	""	"147"	""	""	"17"	""	""	"238"	""	""	"9"	""	""	""	"6"	""	""	"0"	""	""	"20"	""	""	"455"	""	""	""	""	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""
"437"	"Total"	""	"1953"	""	"69"	""	"1743"	""	""	"324"	""	""	"1096"	""	""	"101"	""	""	""	"93"	""	""	"36"	""	""	"147"	""	""	"5562"	""	""	""	"0"	""	""	""	"5562"	""	"0"	""	""	""	""	""	""	""	""
"438"	"Till last Round"	""	"35428"	""	"1870"	""	"22564"	""	""	"5875"	""	""	"11216"	""	""	"1130"	""	""	""	"1529"	""	""	"562"	""	""	"1617"	""	""	"81791"	""	""	""	"0"	""	""	""	"81791"	""	"0"	""	""	""	""	""	""	""	""
"439"	"Grand Total"	""	"37381"	""	"1939"	""	"24307"	""	""	"6199"	""	""	"12312"	""	""	"1231"	""	""	""	"1622"	""	""	"598"	""	""	"1764"	""	""	"87353"	""	""	""	"0"	""	""	""	"87353"	""	"0"	""	""	""	""	""	""	""	""
"440"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"442"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 17
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"446"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"449"	"-214"	""	"187"	""	"1"	""	"16"	""	""	"42"	""	""	"59"	""	""	"8"	""	""	""	"3"	""	""	"0"	""	""	"5"	""	""	"321"	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""
"450"	"-215"	""	"37"	""	"5"	""	"287"	""	""	"48"	""	""	"10"	""	""	"7"	""	""	""	"7"	""	""	"7"	""	""	"8"	""	""	"416"	""	""	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""
"451"	"-216"	""	"65"	""	"49"	""	"173"	""	""	"32"	""	""	"205"	""	""	"14"	""	""	""	"12"	""	""	"6"	""	""	"16"	""	""	"572"	""	""	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	""	""
"452"	"-217"	""	"7"	""	"0"	""	"85"	""	""	"18"	""	""	"66"	""	""	"6"	""	""	""	"5"	""	""	"4"	""	""	"13"	""	""	"204"	""	""	""	""	""	""	""	"204"	""	""	""	""	""	""	""	""	""	""
"453"	"-218"	""	"80"	""	"7"	""	"105"	""	""	"65"	""	""	"10"	""	""	"9"	""	""	""	"10"	""	""	"4"	""	""	"11"	""	""	"301"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""
"454"	"-219"	""	"128"	""	"13"	""	"193"	""	""	"16"	""	""	"16"	""	""	"4"	""	""	""	"11"	""	""	"2"	""	""	"8"	""	""	"391"	""	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""
"455"	"-220"	""	"43"	""	"3"	""	"191"	""	""	"16"	""	""	"44"	""	""	"4"	""	""	""	"4"	""	""	"5"	""	""	"10"	""	""	"320"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""
"456"	"220A"	""	"21"	""	"4"	""	"222"	""	""	"24"	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"6"	""	""	"283"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""
"457"	"-221"	""	"141"	""	"2"	""	"3"	""	""	"5"	""	""	"55"	""	""	"7"	""	""	""	"6"	""	""	"0"	""	""	"4"	""	""	"223"	""	""	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	""	""
"458"	"-222"	""	"214"	""	"8"	""	"12"	""	""	"2"	""	""	"52"	""	""	"4"	""	""	""	"5"	""	""	"2"	""	""	"2"	""	""	"301"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""
"459"	"-223"	""	"88"	""	"1"	""	"11"	""	""	"2"	""	""	"8"	""	""	"1"	""	""	""	"6"	""	""	"2"	""	""	"10"	""	""	"129"	""	""	""	""	""	""	""	"129"	""	""	""	""	""	""	""	""	""	""
"460"	"-224"	""	"109"	""	"6"	""	"68"	""	""	"27"	""	""	"72"	""	""	"11"	""	""	""	"13"	""	""	"6"	""	""	"9"	""	""	"321"	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""
"461"	"-225"	""	"231"	""	"1"	""	"118"	""	""	"15"	""	""	"180"	""	""	"8"	""	""	""	"4"	""	""	"5"	""	""	"3"	""	""	"565"	""	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""
"462"	"-226"	""	"122"	""	"5"	""	"33"	""	""	"8"	""	""	"94"	""	""	"6"	""	""	""	"4"	""	""	"0"	""	""	"9"	""	""	"281"	""	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""
"463"	"Total"	""	"1473"	""	"105"	""	"1517"	""	""	"320"	""	""	"876"	""	""	"89"	""	""	""	"90"	""	""	"44"	""	""	"114"	""	""	"4628"	""	""	""	"0"	""	""	""	"4628"	""	"0"	""	""	""	""	""	""	""	""
"464"	"Till last Round"	""	"37381"	""	"1939"	""	"24307"	""	""	"6199"	""	""	"12312"	""	""	"1231"	""	""	""	"1622"	""	""	"598"	""	""	"1764"	""	""	"87353"	""	""	""	"0"	""	""	""	"87353"	""	"0"	""	""	""	""	""	""	""	""
"465"	"Grand Total"	""	"38854"	""	"2044"	""	"25824"	""	""	"6519"	""	""	"13188"	""	""	"1320"	""	""	""	"1712"	""	""	"642"	""	""	"1878"	""	""	"91981"	""	""	""	"0"	""	""	""	"91981"	""	"0"	""	""	""	""	""	""	""	""
"466"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"467"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"468"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"469"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"470"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"471"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"472"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"473"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"474"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"475"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"477"	"ROUND - 18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"478"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"479"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"480"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"481"	"226A"	""	"60"	""	"5"	""	"163"	""	""	"14"	""	""	"7"	""	""	"1"	""	""	""	"7"	""	""	"1"	""	""	"10"	""	""	"268"	""	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""
"482"	"-227"	""	"76"	""	"5"	""	"92"	""	""	"25"	""	""	"210"	""	""	"12"	""	""	""	"23"	""	""	"5"	""	""	"21"	""	""	"469"	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""
"483"	"-228"	""	"247"	""	"6"	""	"10"	""	""	"11"	""	""	"146"	""	""	"11"	""	""	""	"9"	""	""	"6"	""	""	"18"	""	""	"464"	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""
"484"	"-229"	""	"78"	""	"6"	""	"274"	""	""	"9"	""	""	"45"	""	""	"12"	""	""	""	"17"	""	""	"8"	""	""	"13"	""	""	"462"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""
"485"	"-230"	""	"165"	""	"30"	""	"53"	""	""	"66"	""	""	"168"	""	""	"10"	""	""	""	"8"	""	""	"3"	""	""	"7"	""	""	"510"	""	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""
"486"	"-231"	""	"12"	""	"6"	""	"307"	""	""	"13"	""	""	"4"	""	""	"1"	""	""	""	"4"	""	""	"0"	""	""	"2"	""	""	"349"	""	""	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""
"487"	"-232"	""	"437"	""	"0"	""	"31"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"473"	""	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""
"488"	"-233"	""	"4"	""	"2"	""	"147"	""	""	"12"	""	""	"72"	""	""	"6"	""	""	""	"6"	""	""	"5"	""	""	"1"	""	""	"255"	""	""	""	""	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""
"489"	"-234"	""	"3"	""	"2"	""	"168"	""	""	"18"	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	"5"	""	""	"204"	""	""	""	""	""	""	""	"204"	""	""	""	""	""	""	""	""	""	""
"490"	"-235"	""	"171"	""	"4"	""	"26"	""	""	"22"	""	""	"161"	""	""	"13"	""	""	""	"7"	""	""	"2"	""	""	"9"	""	""	"415"	""	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""
"491"	"235A"	""	"135"	""	"6"	""	"64"	""	""	"9"	""	""	"29"	""	""	"1"	""	""	""	"7"	""	""	"1"	""	""	"4"	""	""	"256"	""	""	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""
"492"	"-236"	""	"115"	""	"8"	""	"133"	""	""	"49"	""	""	"19"	""	""	"4"	""	""	""	"5"	""	""	"3"	""	""	"6"	""	""	"342"	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"493"	"-237"	""	"75"	""	"3"	""	"51"	""	""	"11"	""	""	"104"	""	""	"2"	""	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"248"	""	""	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""
"494"	"-238"	""	"148"	""	"6"	""	"305"	""	""	"19"	""	""	"27"	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	"6"	""	""	"518"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""
"495"	"Total"	""	"1726"	""	"89"	""	"1824"	""	""	"278"	""	""	"994"	""	""	"77"	""	""	""	"101"	""	""	"39"	""	""	"105"	""	""	"5233"	""	""	""	"0"	""	""	""	"5233"	""	"0"	""	""	""	""	""	""	""	""
"496"	"Till last Round"	""	"38854"	""	"2044"	""	"25824"	""	""	"6519"	""	""	"13188"	""	""	"1320"	""	""	""	"1712"	""	""	"642"	""	""	"1878"	""	""	"91981"	""	""	""	"0"	""	""	""	"91981"	""	"0"	""	""	""	""	""	""	""	""
"497"	"Grand Total"	""	"40580"	""	"2133"	""	"27648"	""	""	"6797"	""	""	"14182"	""	""	"1397"	""	""	""	"1813"	""	""	"681"	""	""	"1983"	""	""	"97214"	""	""	""	"0"	""	""	""	"97214"	""	"0"	""	""	""	""	""	""	""	""
"498"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"503"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
FINAL ROUND 19
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	""	""	""	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	"Das"	""	""	"j
i Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	"Yada"	"Gupta,Alia"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered
votes"	""	""	""	""	""
"507"	"239"	""	""	""	""	""	""	"92"	""	""	"2"	""	""	"77"	"13"	""	""	"6"	""	""	"3"	""	""	"4"	""	""	"3"	"5"	""	""	"205"	""	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""
"508"	"240"	""	""	""	""	""	""	"25"	""	""	"1"	""	""	"367"	"50"	""	""	"28"	""	""	"5"	""	""	"15"	""	""	"1"	"4"	""	""	"496"	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""
"509"	"241"	""	""	""	""	""	""	"43"	""	""	"4"	""	""	"121"	"28"	""	""	"5"	""	""	"5"	""	""	"2"	""	""	"1"	"3"	""	""	"212"	""	""	""	""	""	""	"212"	""	""	""	""	""	""	""	""	""
"510"	"242"	""	""	""	""	""	""	"14"	""	""	"2"	""	""	"180"	"41"	""	""	"99"	""	""	"9"	""	""	"5"	""	""	"1"	"0"	""	""	"351"	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""
"511"	"243"	""	""	""	""	""	""	"2"	""	""	"0"	""	""	"299"	"9"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	"0"	""	""	"312"	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""
"512"	"244"	""	""	""	""	""	""	"40"	""	""	"6"	""	""	"159"	"21"	""	""	"81"	""	""	"9"	""	""	"3"	""	""	"2"	"10"	""	""	"331"	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""
"513"	"244A"	""	""	""	""	""	""	"16"	""	""	"3"	""	""	"215"	"15"	""	""	"158"	""	""	"2"	""	""	"1"	""	""	"1"	"3"	""	""	"414"	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""
"514"	"245"	""	""	""	""	""	""	"68"	""	""	"6"	""	""	"69"	"11"	""	""	"118"	""	""	"9"	""	""	"9"	""	""	"5"	"23"	""	""	"318"	""	""	""	""	""	""	"318"	""	""	""	""	""	""	""	""	""
"515"	"246"	""	""	""	""	""	""	"225"	""	""	"16"	""	""	"49"	"26"	""	""	"42"	""	""	"5"	""	""	"14"	""	""	"2"	"15"	""	""	"394"	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""
"516"	"247"	""	""	""	""	""	""	"127"	""	""	"7"	""	""	"82"	"6"	""	""	"174"	""	""	"15"	""	""	"9"	""	""	"4"	"17"	""	""	"441"	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""
