"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"238"	"150"	""	"17"	""	""	"22"	""	""	""	"137"	""	""	""	""	"119"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"37"	""	""	""	"3"	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"12"	""	""	""	""	"376"	""	""	""	""	""	"0"	""	""	""	""	"376"	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"151"	""	"11"	""	""	"383"	""	""	""	"48"	""	""	""	""	"76"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"80"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"638"	""	""	""	""	""	"0"	""	""	""	""	"638"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"152"	""	"19"	""	""	"56"	""	""	""	"144"	""	""	""	""	"56"	""	""	""	""	"12"	""	""	""	""	"0"	""	""	""	""	"14"	""	""	""	"4"	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"19"	""	""	""	""	"329"	""	""	""	""	""	"0"	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"152A"	""	"23"	""	""	"82"	""	""	""	"69"	""	""	""	""	"48"	""	""	""	""	"37"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	"16"	""	""	""	""	"308"	""	""	""	""	""	"0"	""	""	""	""	"308"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"153"	""	"5"	""	""	"70"	""	""	""	"27"	""	""	""	""	"146"	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"39"	""	""	""	"7"	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	"11"	""	""	""	""	"11"	""	""	""	""	"29"	""	""	""	""	"368"	""	""	""	""	""	"0"	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"154"	""	"7"	""	""	"337"	""	""	""	"23"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"53"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"435"	""	""	""	""	""	"0"	""	""	""	""	"435"	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"155"	""	"28"	""	""	"126"	""	""	""	"120"	""	""	""	""	"206"	""	""	""	""	"16"	""	""	""	""	"10"	""	""	""	""	"55"	""	""	""	"4"	""	""	"13"	""	""	""	""	""	"18"	""	""	""	""	""	"7"	""	""	""	""	"16"	""	""	""	""	"31"	""	""	""	""	"650"	""	""	""	""	""	"0"	""	""	""	""	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"156"	""	"28"	""	""	"49"	""	""	""	"118"	""	""	""	""	"267"	""	""	""	""	"61"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	"7"	""	""	"2"	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"25"	""	""	""	""	"602"	""	""	""	""	""	"0"	""	""	""	""	"602"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"157"	""	"15"	""	""	"63"	""	""	""	"60"	""	""	""	""	"267"	""	""	""	""	"83"	""	""	""	""	"3"	""	""	""	""	"112"	""	""	""	"6"	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"21"	""	""	""	""	"654"	""	""	""	""	""	"0"	""	""	""	""	"654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"158"	""	"7"	""	""	"193"	""	""	""	"115"	""	""	""	""	"21"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"119"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"495"	""	""	""	""	""	"0"	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"159"	""	"22"	""	""	"15"	""	""	""	"280"	""	""	""	""	"64"	""	""	""	""	"20"	""	""	""	""	"5"	""	""	""	""	"101"	""	""	""	"8"	""	""	"10"	""	""	""	""	""	"21"	""	""	""	""	""	"21"	""	""	""	""	"11"	""	""	""	""	"27"	""	""	""	""	"605"	""	""	""	""	""	"0"	""	""	""	""	"605"	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"160"	""	"9"	""	""	"48"	""	""	""	"17"	""	""	""	""	"135"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"81"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	"20"	""	""	""	""	"339"	""	""	""	""	""	"0"	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"160A"	""	"18"	""	""	"134"	""	""	""	"30"	""	""	""	""	"84"	""	""	""	""	"20"	""	""	""	""	"4"	""	""	""	""	"30"	""	""	""	"8"	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	"12"	""	""	""	""	"24"	""	""	""	""	"385"	""	""	""	""	""	"0"	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Total:-"	""	"256"	""	""	"1616"	""	""	""	"1237"	""	""	""	""	"1742"	""	""	""	""	"280"	""	""	""	""	"54"	""	""	""	""	"743"	""	""	""	"64"	""	""	"62"	""	""	""	""	""	"117"	""	""	""	""	""	"90"	""	""	""	""	"111"	""	""	""	""	"270"	""	""	""	""	"6642"	""	""	""	""	""	""	""	""	""	""	"6642"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""
"253"	""	""	"URMILA DEVI"	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	""	"1"	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"255"	"161"	""	"1"	""	"28"	""	""	""	"34"	""	""	""	""	"160"	""	""	""	""	""	"26"	""	""	""	""	"9"	""	""	""	"163"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"38"	""	""	""	""	"473"	""	""	""	""	"0"	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"162"	""	"0"	""	"26"	""	""	""	"5"	""	""	""	""	"436"	""	""	""	""	""	"18"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"501"	""	""	""	""	"0"	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"163"	""	"5"	""	"14"	""	""	""	"11"	""	""	""	""	"365"	""	""	""	""	""	"17"	""	""	""	""	"1"	""	""	""	"102"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"520"	""	""	""	""	"0"	""	""	""	""	"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"164"	""	"36"	""	"62"	""	""	""	"13"	""	""	""	""	"77"	""	""	""	""	""	"14"	""	""	""	""	"3"	""	""	""	"40"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	""	"120"	""	""	""	""	"391"	""	""	""	""	"0"	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"165"	""	"4"	""	"166"	""	""	""	"24"	""	""	""	""	"32"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"185"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"424"	""	""	""	""	"0"	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"166"	""	"0"	""	"78"	""	""	""	"57"	""	""	""	""	"225"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"96"	""	""	""	""	"471"	""	""	""	""	"0"	""	""	""	""	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"167"	""	"0"	""	"77"	""	""	""	"90"	""	""	""	""	"133"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"14"	""	""	""	""	"330"	""	""	""	""	"0"	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"168"	""	"21"	""	"191"	""	""	""	"47"	""	""	""	""	"21"	""	""	""	""	""	"108"	""	""	""	""	"4"	""	""	""	"16"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	"44"	""	""	""	""	"480"	""	""	""	""	"0"	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"169"	""	"6"	""	"128"	""	""	""	"40"	""	""	""	""	"55"	""	""	""	""	""	"22"	""	""	""	""	"1"	""	""	""	"35"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	"29"	""	""	""	""	"325"	""	""	""	""	"0"	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"170"	""	"11"	""	"103"	""	""	""	"64"	""	""	""	""	"26"	""	""	""	""	""	"16"	""	""	""	""	"5"	""	""	""	"134"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	"123"	""	""	""	""	"504"	""	""	""	""	"0"	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"171"	""	"21"	""	"87"	""	""	""	"31"	""	""	""	""	"331"	""	""	""	""	""	"16"	""	""	""	""	"5"	""	""	""	"27"	""	""	""	"3"	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"16"	""	""	""	""	""	"57"	""	""	""	""	"612"	""	""	""	""	"0"	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"172"	""	"12"	""	"177"	""	""	""	"37"	""	""	""	""	"60"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"84"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	"17"	""	""	""	""	""	"32"	""	""	""	""	"444"	""	""	""	""	"0"	""	""	""	""	"444"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"173"	""	"0"	""	"0"	""	""	""	"1"	""	""	""	""	"358"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"362"	""	""	""	""	"0"	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"174"	""	"10"	""	"216"	""	""	""	"21"	""	""	""	""	"112"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	"380"	""	""	""	""	"0"	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Total:-"	""	"127"	""	"1353"	""	""	""	"475"	""	""	""	""	"2391"	""	""	""	""	""	"257"	""	""	""	""	"35"	""	""	""	"794"	""	""	""	"36"	""	""	""	"30"	""	""	""	""	""	"51"	""	""	""	""	"32"	""	""	""	""	"70"	""	""	""	""	""	"566"	""	""	""	""	"6217"	""	""	""	""	""	""	""	""	""	"6217"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"No. & Name of the Assembly Constituency- 223-GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"RounNo.15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""
"276"	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""
"278"	"175"	"9"	""	""	"285"	""	""	""	"20"	""	""	""	""	"100"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"434"	""	""	""	""	""	"0"	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"176"	"4"	""	""	"148"	""	""	""	"20"	""	""	""	""	"254"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"439"	""	""	""	""	""	"0"	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"177"	"44"	""	""	"96"	""	""	""	"60"	""	""	""	""	"88"	""	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	"87"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"34"	""	""	""	""	"442"	""	""	""	""	""	"0"	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"178"	"14"	""	""	"16"	""	""	""	"11"	""	""	""	""	"449"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"3"	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	"11"	""	""	""	""	"19"	""	""	""	""	"558"	""	""	""	""	""	"0"	""	""	""	""	"558"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"179"	"1"	""	""	"14"	""	""	""	"10"	""	""	""	""	"469"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"514"	""	""	""	""	""	"0"	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"180"	"11"	""	""	"203"	""	""	""	"19"	""	""	""	""	"72"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"32"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"358"	""	""	""	""	""	"0"	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"181"	"9"	""	""	"319"	""	""	""	"51"	""	""	""	""	"24"	""	""	""	""	"20"	""	""	""	""	"3"	""	""	""	""	"79"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	"530"	""	""	""	""	""	"0"	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"182"	"7"	""	""	"130"	""	""	""	"16"	""	""	""	""	"177"	""	""	""	""	"13"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	"22"	""	""	""	""	"402"	""	""	""	""	""	"0"	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"183"	"6"	""	""	"46"	""	""	""	"51"	""	""	""	""	"198"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"12"	""	""	""	""	""	"10"	""	""	""	""	"24"	""	""	""	""	"116"	""	""	""	""	"501"	""	""	""	""	""	"0"	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"184"	"2"	""	""	"181"	""	""	""	"62"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"22"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"276"	""	""	""	""	""	"0"	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"185"	"14"	""	""	"334"	""	""	""	"41"	""	""	""	""	"18"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"53"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	"15"	""	""	""	""	"13"	""	""	""	""	"506"	""	""	""	""	""	"0"	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"186"	"14"	""	""	"263"	""	""	""	"37"	""	""	""	""	"38"	""	""	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"385"	""	""	""	""	""	"0"	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"186A"	"7"	""	""	"235"	""	""	""	"22"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"267"	""	""	""	""	""	"0"	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"187"	"11"	""	""	"24"	""	""	""	"96"	""	""	""	""	"69"	""	""	""	""	"18"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"6"	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	"14"	""	""	""	""	"267"	""	""	""	""	""	"0"	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Total:-"	"153"	""	""	"2294"	""	""	""	"516"	""	""	""	""	"1961"	""	""	""	""	"113"	""	""	""	""	"28"	""	""	""	""	"320"	""	""	""	"26"	""	""	"31"	""	""	""	""	""	"57"	""	""	""	""	""	"41"	""	""	""	""	"94"	""	""	""	""	"245"	""	""	""	""	"5879"	""	""	""	""	""	""	""	""	""	""	"5879"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"223 GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"No. & Name of the Assembly Constituency- 223-GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
