"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"439"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"442"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"446"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"457"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"458"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"460"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"461"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"462"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	"124"	""	"85"	""	""	"175"	""	""	""	"11"	""	"3"	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"15"	""	""	""	""	"8"	""	""	"310"	""	""	""	"0"	""	""	""	"310"	""	""	""	""	""	""
"466"	"125"	""	"157"	""	""	"30"	""	""	""	"72"	""	"9"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"17"	""	""	"300"	""	""	""	"0"	""	""	""	"300"	""	""	""	""	""	""
"467"	"126"	""	"393"	""	""	"25"	""	""	""	"70"	""	"9"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"50"	""	""	""	""	"28"	""	""	"588"	""	""	""	"0"	""	""	""	"588"	""	""	""	""	""	""
"468"	"127"	""	"132"	""	""	"11"	""	""	""	"46"	""	"7"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	"115"	""	""	""	""	"17"	""	""	"346"	""	""	""	"0"	""	""	""	"346"	""	""	""	""	""	""
"469"	"128"	""	"146"	""	""	"6"	""	""	""	"88"	""	"12"	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	"8"	""	""	""	"154"	""	""	""	""	"13"	""	""	"445"	""	""	""	"0"	""	""	""	"445"	""	""	""	""	""	""
"470"	"129"	""	"114"	""	""	"41"	""	""	""	"50"	""	"22"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"14"	""	""	""	"133"	""	""	""	""	"11"	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""
"471"	"130"	""	"145"	""	""	"15"	""	""	""	"159"	""	"17"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"68"	""	""	""	""	"18"	""	""	"449"	""	""	""	"0"	""	""	""	"449"	""	""	""	""	""	""
"472"	"131"	""	"353"	""	""	"23"	""	""	""	"65"	""	"8"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"25"	""	""	""	""	"27"	""	""	"517"	""	""	""	"0"	""	""	""	"517"	""	""	""	""	""	""
"473"	"132"	""	"177"	""	""	"39"	""	""	""	"240"	""	"33"	""	""	""	""	"9"	""	""	""	""	"9"	""	""	""	""	"11"	""	""	""	"80"	""	""	""	""	"28"	""	""	"626"	""	""	""	"0"	""	""	""	"626"	""	""	""	""	""	""
"474"	"133"	""	"26"	""	""	"5"	""	""	""	"196"	""	"9"	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"16"	""	""	""	""	"13"	""	""	"285"	""	""	""	"0"	""	""	""	"285"	""	""	""	""	""	""
"475"	"134"	""	"93"	""	""	"39"	""	""	""	"153"	""	"19"	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	""	"11"	""	""	""	"81"	""	""	""	""	"12"	""	""	"425"	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""
"476"	"135"	""	"75"	""	""	"29"	""	""	""	"156"	""	"13"	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"14"	""	""	""	"296"	""	""	""	""	"19"	""	""	"615"	""	""	""	"0"	""	""	""	"615"	""	""	""	""	""	""
"477"	"136"	""	"183"	""	""	"16"	""	""	""	"194"	""	"24"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"17"	""	""	""	""	"14"	""	""	"464"	""	""	""	"0"	""	""	""	"464"	""	""	""	""	""	""
"478"	"137"	""	"161"	""	""	"17"	""	""	""	"199"	""	"12"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"16"	""	""	""	""	"21"	""	""	"437"	""	""	""	"0"	""	""	""	"437"	""	""	""	""	""	""
"479"	"Total"	""	"2240"	""	""	"471"	""	""	""	"1699"	""	"197"	""	""	""	""	"72"	""	""	""	""	"98"	""	""	""	""	"111"	""	""	""	"1073"	""	""	""	""	"246"	""	""	"6207"	""	""	""	"0"	""	""	""	"6207"	""	""	""	""	""	""
"480"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"481"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"482"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"483"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"485"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"488"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"489"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"490"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"491"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"492"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"493"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"494"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"495"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"497"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"503"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"138"	""	""	"30"	""	"10"	""	""	""	"54"	""	"125"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"4"	""	""	"253"	""	""	""	"0"	""	""	""	"253"	""	""	""	""	""	""
"509"	"139"	""	""	"78"	""	"18"	""	""	""	"179"	""	"15"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	"17"	""	""	""	"9"	""	""	"341"	""	""	""	"0"	""	""	""	"341"	""	""	""	""	""	""
"510"	"140"	""	""	"107"	""	"16"	""	""	""	"225"	""	"17"	""	""	""	""	"9"	""	""	""	""	"20"	""	""	""	""	"12"	""	""	""	""	"41"	""	""	""	"19"	""	""	"466"	""	""	""	"0"	""	""	""	"466"	""	""	""	""	""	""
"511"	"141"	""	""	"148"	""	"7"	""	""	""	"200"	""	"14"	""	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	"27"	""	""	""	"18"	""	""	"436"	""	""	""	"0"	""	""	""	"436"	""	""	""	""	""	""
"512"	"142"	""	""	"186"	""	"11"	""	""	""	"131"	""	"18"	""	""	""	""	"13"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"45"	""	""	""	"44"	""	""	"463"	""	""	""	"0"	""	""	""	"463"	""	""	""	""	""	""
"513"	"143"	""	""	"142"	""	"38"	""	""	""	"32"	""	"6"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"24"	""	""	""	"26"	""	""	"287"	""	""	""	"0"	""	""	""	"287"	""	""	""	""	""	""
"514"	"144"	""	""	"121"	""	"23"	""	""	""	"244"	""	"9"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	"5"	""	""	"419"	""	""	""	"0"	""	""	""	"419"	""	""	""	""	""	""
"515"	"145"	""	""	"95"	""	"14"	""	""	""	"268"	""	"14"	""	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	""	"10"	""	""	""	"13"	""	""	"442"	""	""	""	"0"	""	""	""	"442"	""	""	""	""	""	""
"516"	"146"	""	""	"50"	""	"1"	""	""	""	"184"	""	"18"	""	""	""	""	"8"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"93"	""	""	""	"29"	""	""	"414"	""	""	""	"0"	""	""	""	"414"	""	""	""	""	""	""
"517"	"147"	""	""	"128"	""	"11"	""	""	""	"71"	""	"6"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"15"	""	""	"254"	""	""	""	"0"	""	""	""	"254"	""	""	""	""	""	""
"518"	"147A"	""	""	"137"	""	"15"	""	""	""	"205"	""	"9"	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	"8"	""	""	""	""	"22"	""	""	""	"14"	""	""	"425"	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""
"519"	"148"	""	""	"117"	""	"6"	""	""	""	"252"	""	"12"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"11"	""	""	"421"	""	""	""	"0"	""	""	""	"421"	""	""	""	""	""	""
"520"	"149"	""	""	"252"	""	"22"	""	""	""	"143"	""	"23"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	"25"	""	""	""	"30"	""	""	"518"	""	""	""	"0"	""	""	""	"518"	""	""	""	""	""	""
"521"	"150"	""	""	"359"	""	"32"	""	""	""	"156"	""	"33"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	"14"	""	""	"642"	""	""	""	"0"	""	""	""	"642"	""	""	""	""	""	""
"522"	"Total"	""	""	"1950"	""	"224"	""	""	""	"2344"	""	"319"	""	""	""	""	"97"	""	""	""	""	"131"	""	""	""	""	"129"	""	""	""	""	"336"	""	""	""	"251"	""	""	"5781"	""	""	""	"0"	""	""	""	"5781"	""	""	""	""	""	""
"523"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"528"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"530"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"532"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"533"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"534"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"535"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"536"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"537"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"538"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"539"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"540"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"541"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"543"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"544"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"545"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"546"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"547"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"548"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"549"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
