"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Grand Total"	""	"9054"	""	"37548"	""	"1518"	""	"4988"	""	"36123"	""	""	""	"1080"	""	""	"543"	""	""	""	"864"	""	""	"474"	""	"447"	""	""	"457"	""	""	"1548"	""	""	"2105"	""	""	"96749"	""	"0"	""	"96749"	""	""	"0"	""	""	""	""
"371"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"373"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"215"	""	"35"	""	"23"	""	"4"	""	"5"	""	"246"	""	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"1"	""	""	"3"	""	""	"5"	""	""	"333"	""	""	""	"333"	""	""	""	""	""	""	""
"375"	"216"	""	"28"	""	"245"	""	"6"	""	"23"	""	"179"	""	""	""	"6"	""	""	"1"	""	""	""	"6"	""	""	"4"	""	"5"	""	""	"5"	""	""	"26"	""	""	"18"	""	""	"552"	""	""	""	"552"	""	""	""	""	""	""	""
"376"	"217"	""	"21"	""	"194"	""	"13"	""	"16"	""	"267"	""	""	""	"6"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	"2"	""	""	"2"	""	""	"2"	""	""	"9"	""	""	"539"	""	""	""	"539"	""	""	""	""	""	""	""
"377"	"218"	""	"15"	""	"186"	""	"4"	""	"32"	""	"180"	""	""	""	"3"	""	""	"14"	""	""	""	"8"	""	""	"2"	""	"1"	""	""	"3"	""	""	"9"	""	""	"11"	""	""	"468"	""	""	""	"468"	""	""	""	""	""	""	""
"378"	"219"	""	"27"	""	"224"	""	"18"	""	"14"	""	"128"	""	""	""	"8"	""	""	"6"	""	""	""	"3"	""	""	"2"	""	"4"	""	""	"1"	""	""	"3"	""	""	"9"	""	""	"447"	""	""	""	"447"	""	""	""	""	""	""	""
"379"	"220"	""	"5"	""	"143"	""	"5"	""	"2"	""	"114"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	""	"2"	""	"2"	""	""	"2"	""	""	"18"	""	""	"14"	""	""	"311"	""	""	""	"311"	""	""	""	""	""	""	""
"380"	"221"	""	"130"	""	"127"	""	"8"	""	"17"	""	"54"	""	""	""	"2"	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	"9"	""	""	"25"	""	""	"379"	""	""	""	"379"	""	""	""	""	""	""	""
"381"	"222"	""	"6"	""	"10"	""	"2"	""	"3"	""	"316"	""	""	""	"8"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	""	""	"2"	""	""	"3"	""	""	"8"	""	""	"363"	""	""	""	"363"	""	""	""	""	""	""	""
"382"	"223"	""	"76"	""	"188"	""	"9"	""	"1"	""	"45"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"2"	""	""	"1"	""	""	"17"	""	""	"14"	""	""	"360"	""	""	""	"360"	""	""	""	""	""	""	""
"383"	"224"	""	"33"	""	"119"	""	"4"	""	"12"	""	"208"	""	""	""	"8"	""	""	"3"	""	""	""	"4"	""	""	"2"	""	"3"	""	""	"4"	""	""	"19"	""	""	"37"	""	""	"456"	""	""	""	"456"	""	""	""	""	""	""	""
"384"	"225"	""	"1"	""	"125"	""	""	""	"1"	""	"56"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"188"	""	""	""	"188"	""	""	""	""	""	""	""
"385"	"226"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""
"386"	"227"	""	"15"	""	"98"	""	"4"	""	"2"	""	"28"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	"1"	""	"2"	""	""	"1"	""	""	"3"	""	""	"4"	""	""	"162"	""	""	""	"162"	""	""	""	""	""	""	""
"387"	"227A"	""	"7"	""	"126"	""	"8"	""	"3"	""	"148"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	"2"	""	""	"9"	""	""	"10"	""	""	"318"	""	""	""	"318"	""	""	""	""	""	""	""
"388"	"Total"	""	"399"	""	"1808"	""	"85"	""	"131"	""	"1969"	""	""	""	"50"	""	""	"36"	""	""	""	"37"	""	""	"24"	""	"22"	""	""	"28"	""	""	"123"	""	""	"164"	""	""	"4876"	""	""	""	"4876"	""	""	"0"	""	""	""	""
"389"	"Till Last Round"	""	"9054"	""	"37548"	""	"1518"	""	"4988"	""	"36123"	""	""	""	"1080"	""	""	"543"	""	""	""	"864"	""	""	"474"	""	"447"	""	""	"457"	""	""	"1548"	""	""	"2105"	""	""	"96749"	""	"0"	""	"96749"	""	""	"0"	""	""	""	""
"390"	"Grand Total"	""	"9453"	""	"39356"	""	"1603"	""	"5119"	""	"38092"	""	""	""	"1130"	""	""	"579"	""	""	""	"901"	""	""	"498"	""	"469"	""	""	"485"	""	""	"1671"	""	""	"2269"	""	""	"101625"	""	"0"	""	"101625"	""	""	"0"	""	""	""	""
"391"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"393"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"228"	""	"17"	""	"39"	""	"1"	""	"4"	""	"372"	""	""	""	"11"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	"1"	""	""	"1"	""	""	"3"	""	""	"12"	""	""	"470"	""	""	""	"470"	""	""	""	""	""	""	""
"395"	"229"	""	"14"	""	"79"	""	"3"	""	"15"	""	"315"	""	""	""	"11"	""	""	"1"	""	""	""	"4"	""	""	"1"	""	"2"	""	""	"1"	""	""	"3"	""	""	"6"	""	""	"455"	""	""	""	"455"	""	""	""	""	""	""	""
"396"	"230"	""	"23"	""	"123"	""	"3"	""	"3"	""	"148"	""	""	""	"1"	""	""	"6"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	"7"	""	""	"322"	""	""	""	"322"	""	""	""	""	""	""	""
"397"	"230A"	""	"17"	""	"37"	""	"1"	""	"8"	""	"252"	""	""	""	"6"	""	""	"4"	""	""	""	"2"	""	""	"1"	""	"1"	""	""	"8"	""	""	"7"	""	""	"10"	""	""	"354"	""	""	""	"354"	""	""	""	""	""	""	""
"398"	"231"	""	"4"	""	"37"	""	"1"	""	"1"	""	"191"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	"1"	""	""	"9"	""	""	"251"	""	""	""	"251"	""	""	""	""	""	""	""
"399"	"231A"	""	"2"	""	"34"	""	"1"	""	"1"	""	"41"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"81"	""	""	""	"81"	""	""	""	""	""	""	""
"400"	"232"	""	"13"	""	"13"	""	"4"	""	"8"	""	"371"	""	""	""	"16"	""	""	"6"	""	""	""	""	""	""	"1"	""	"2"	""	""	"1"	""	""	""	""	""	"5"	""	""	"440"	""	""	""	"440"	""	""	""	""	""	""	""
"401"	"233"	""	"13"	""	"70"	""	"3"	""	"7"	""	"191"	""	""	""	""	""	""	"3"	""	""	""	"2"	""	""	"3"	""	"1"	""	""	"2"	""	""	"5"	""	""	"8"	""	""	"308"	""	""	""	"308"	""	""	""	""	""	""	""
"402"	"234"	""	"3"	""	"155"	""	"2"	""	"8"	""	"82"	""	""	""	"2"	""	""	"3"	""	""	""	"4"	""	""	"1"	""	""	""	""	"4"	""	""	"14"	""	""	"3"	""	""	"281"	""	""	""	"281"	""	""	""	""	""	""	""
"403"	"234A"	""	"40"	""	"104"	""	""	""	"1"	""	"89"	""	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	""	"1"	""	""	"3"	""	""	"14"	""	""	"261"	""	""	""	"261"	""	""	""	""	""	""	""
"404"	"235"	""	"4"	""	"328"	""	"4"	""	"3"	""	"116"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	"6"	""	""	"469"	""	""	""	"469"	""	""	""	""	""	""	""
"405"	"236"	""	"13"	""	"123"	""	"4"	""	"33"	""	"289"	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	"7"	""	""	""	""	"2"	""	""	"7"	""	""	"11"	""	""	"498"	""	""	""	"498"	""	""	""	""	""	""	""
"406"	"237"	""	"108"	""	"88"	""	"37"	""	"32"	""	"239"	""	""	""	"4"	""	""	"7"	""	""	""	"7"	""	""	"3"	""	"3"	""	""	"2"	""	""	"16"	""	""	"31"	""	""	"577"	""	""	""	"577"	""	""	""	""	""	""	""
"407"	"238"	""	"5"	""	"133"	""	"8"	""	"20"	""	"361"	""	""	""	"6"	""	""	"3"	""	""	""	"9"	""	""	"6"	""	"2"	""	""	"1"	""	""	"9"	""	""	"18"	""	""	"581"	""	""	""	"581"	""	""	""	""	""	""	""
"408"	"Total"	""	"276"	""	"1363"	""	"72"	""	"144"	""	"3057"	""	""	""	"70"	""	""	"40"	""	""	""	"41"	""	""	"30"	""	"16"	""	""	"23"	""	""	"76"	""	""	"140"	""	""	"5348"	""	""	""	"5348"	""	""	"0"	""	""	""	""
"409"	"Till Last Round"	""	"9453"	""	"39356"	""	"1603"	""	"5119"	""	"38092"	""	""	""	"1130"	""	""	"579"	""	""	""	"901"	""	""	"498"	""	"469"	""	""	"485"	""	""	"1671"	""	""	"2269"	""	""	"101625"	""	"0"	""	"101625"	""	""	"0"	""	""	""	""
"410"	"Grand Total"	""	"9729"	""	"40719"	""	"1675"	""	"5263"	""	"41149"	""	""	""	"1200"	""	""	"619"	""	""	""	"942"	""	""	"528"	""	"485"	""	""	"508"	""	""	"1747"	""	""	"2409"	""	""	"106973"	""	"0"	""	"106973"	""	""	"0"	""	""	""	""
"411"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"413"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"239"	""	"16"	""	"188"	""	"2"	""	"9"	""	"351"	""	""	""	"8"	""	""	"1"	""	""	""	"6"	""	""	"4"	""	""	""	""	"1"	""	""	"12"	""	""	"9"	""	""	"607"	""	""	""	"607"	""	""	""	""	""	""	""
"415"	"240"	""	"14"	""	"116"	""	"3"	""	"1"	""	"201"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	"3"	""	"2"	""	""	"3"	""	""	"10"	""	""	"8"	""	""	"364"	""	""	""	"364"	""	""	""	""	""	""	""
"416"	"241"	""	"78"	""	"352"	""	"2"	""	"5"	""	"82"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	"9"	""	""	"540"	""	""	""	"540"	""	""	""	""	""	""	""
"417"	"242"	""	"23"	""	"183"	""	"9"	""	"3"	""	"162"	""	""	""	"5"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	"8"	""	""	"14"	""	""	"415"	""	""	""	"415"	""	""	""	""	""	""	""
"418"	"243"	""	"280"	""	"120"	""	"29"	""	"13"	""	"34"	""	""	""	"2"	""	""	"6"	""	""	""	"2"	""	""	"4"	""	"1"	""	""	""	""	""	"13"	""	""	"26"	""	""	"530"	""	""	""	"530"	""	""	""	""	""	""	""
"419"	"244"	""	"23"	""	"277"	""	"5"	""	"22"	""	"64"	""	""	""	"1"	""	""	"3"	""	""	""	"6"	""	""	"3"	""	"2"	""	""	"5"	""	""	"17"	""	""	"17"	""	""	"445"	""	""	""	"445"	""	""	""	""	""	""	""
"420"	"245"	""	"60"	""	"261"	""	"5"	""	"10"	""	"33"	""	""	""	"4"	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	"3"	""	""	"9"	""	""	"18"	""	""	"409"	""	""	""	"409"	""	""	""	""	""	""	""
"421"	"245A"	""	"49"	""	"155"	""	"13"	""	"5"	""	"8"	""	""	""	"4"	""	""	"4"	""	""	""	"1"	""	""	"1"	""	"1"	""	""	"3"	""	""	"10"	""	""	"12"	""	""	"266"	""	""	""	"266"	""	""	""	""	""	""	""
"422"	"246"	""	""	""	"128"	""	"1"	""	"1"	""	"115"	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"7"	""	""	"2"	""	""	"258"	""	""	""	"258"	""	""	""	""	""	""	""
"423"	"247"	""	"7"	""	"39"	""	"1"	""	"1"	""	"140"	""	""	""	"8"	""	""	"1"	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"14"	""	""	"220"	""	""	""	"220"	""	""	""	""	""	""	""
"424"	"248"	""	"20"	""	"23"	""	"5"	""	"4"	""	"464"	""	""	""	"12"	""	""	"4"	""	""	""	"5"	""	""	"2"	""	"2"	""	""	"7"	""	""	"5"	""	""	"12"	""	""	"565"	""	""	""	"565"	""	""	""	""	""	""	""
"425"	"249"	""	"13"	""	"33"	""	"2"	""	"4"	""	"300"	""	""	""	"5"	""	""	"4"	""	""	""	"1"	""	""	"2"	""	"2"	""	""	"2"	""	""	"5"	""	""	"14"	""	""	"387"	""	""	""	"387"	""	""	""	""	""	""	""
"426"	"250"	""	"16"	""	"153"	""	"6"	""	"8"	""	"96"	""	""	""	"6"	""	""	"1"	""	""	""	"6"	""	""	""	""	"2"	""	""	"2"	""	""	"13"	""	""	"4"	""	""	"313"	""	""	""	"313"	""	""	""	""	""	""	""
"427"	"251"	""	"8"	""	"86"	""	"10"	""	"27"	""	"107"	""	""	""	"2"	""	""	"2"	""	""	""	"6"	""	""	"3"	""	""	""	""	"2"	""	""	"6"	""	""	"11"	""	""	"270"	""	""	""	"270"	""	""	""	""	""	""	""
"428"	"Total"	""	"607"	""	"2114"	""	"93"	""	"113"	""	"2157"	""	""	""	"63"	""	""	"31"	""	""	""	"44"	""	""	"22"	""	"18"	""	""	"33"	""	""	"124"	""	""	"170"	""	""	"5589"	""	""	""	"5589"	""	""	"0"	""	""	""	""
"429"	"Till Last Round"	""	"9729"	""	"40719"	""	"1675"	""	"5263"	""	"41149"	""	""	""	"1200"	""	""	"619"	""	""	""	"942"	""	""	"528"	""	"485"	""	""	"508"	""	""	"1747"	""	""	"2409"	""	""	"106973"	""	"0"	""	"106973"	""	""	"0"	""	""	""	""
"430"	"Grand Total"	""	"10336"	""	"42833"	""	"1768"	""	"5376"	""	"43306"	""	""	""	"1263"	""	""	"650"	""	""	""	"986"	""	""	"550"	""	"503"	""	""	"541"	""	""	"1871"	""	""	"2579"	""	""	"112562"	""	"0"	""	"112562"	""	""	"0"	""	""	""	""
"431"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 193-PHULWARI  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"ROUND-22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"439"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"251A"	""	"2"	""	"122"	""	"1"	""	""	""	"49"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	"1"	""	""	"184"	""	""	""	"184"	""	""	""	""	""	""	""
"441"	"252"	""	"6"	""	"168"	""	"2"	""	"4"	""	"80"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"2"	""	"1"	""	""	"1"	""	""	"6"	""	""	"9"	""	""	"280"	""	""	""	"280"	""	""	""	""	""	""	""
"442"	"253"	""	"8"	""	"161"	""	"9"	""	"24"	""	"96"	""	""	""	"2"	""	""	"4"	""	""	""	"8"	""	""	"6"	""	"4"	""	""	"6"	""	""	"11"	""	""	"12"	""	""	"351"	""	""	""	"351"	""	""	""	""	""	""	""
"443"	"254"	""	"44"	""	"159"	""	"9"	""	"33"	""	"50"	""	""	""	"4"	""	""	"3"	""	""	""	"3"	""	""	"2"	""	"2"	""	""	"2"	""	""	"14"	""	""	"6"	""	""	"331"	""	""	""	"331"	""	""	""	""	""	""	""
"444"	"255"	""	"6"	""	"191"	""	"1"	""	"3"	""	"58"	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	"2"	""	"1"	""	""	""	""	""	"11"	""	""	"5"	""	""	"286"	""	""	""	"286"	""	""	""	""	""	""	""
"445"	"256"	""	"12"	""	"80"	""	"2"	""	"35"	""	"195"	""	""	""	"3"	""	""	"4"	""	""	""	"6"	""	""	"1"	""	"2"	""	""	"6"	""	""	"2"	""	""	"9"	""	""	"357"	""	""	""	"357"	""	""	""	""	""	""	""
"446"	"257"	""	"7"	""	"250"	""	"2"	""	"4"	""	"108"	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	"3"	""	""	"0"	""	""	"8"	""	""	"10"	""	""	"399"	""	""	""	"399"	""	""	""	""	""	""	""
"447"	"258"	""	"136"	""	"10"	""	"8"	""	"19"	""	"131"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	""	"1"	""	"4"	""	""	"4"	""	""	"3"	""	""	"12"	""	""	"335"	""	""	""	"335"	""	""	""	""	""	""	""
"448"	"259"	""	"12"	""	"40"	""	""	""	"5"	""	"155"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"6"	""	""	"222"	""	""	""	"222"	""	""	""	""	""	""	""
"449"	"259A"	""	"8"	""	"12"	""	"19"	""	"6"	""	"178"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"3"	""	""	"232"	""	""	""	"232"	""	""	""	""	""	""	""
"450"	"260"	""	"9"	""	"152"	""	"1"	""	"4"	""	"233"	""	""	""	"5"	""	""	"2"	""	""	""	"1"	""	""	"4"	""	""	""	""	"2"	""	""	"6"	""	""	"4"	""	""	"423"	""	""	""	"423"	""	""	""	""	""	""	""
"451"	"261"	""	"16"	""	"48"	""	"6"	""	"3"	""	"302"	""	""	""	"8"	""	""	"2"	""	""	""	"1"	""	""	"5"	""	"1"	""	""	"1"	""	""	"6"	""	""	"12"	""	""	"411"	""	""	""	"411"	""	""	""	""	""	""	""
"452"	"262"	""	"5"	""	"194"	""	"8"	""	"5"	""	"58"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"15"	""	""	"7"	""	""	"296"	""	""	""	"296"	""	""	""	""	""	""	""
"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""
"454"	"Total"	""	"271"	""	"1587"	""	"68"	""	"145"	""	"1693"	""	""	""	"42"	""	""	"23"	""	""	""	"28"	""	""	"25"	""	"18"	""	""	"23"	""	""	"88"	""	""	"96"	""	""	"4107"	""	""	""	"4107"	""	""	"0"	""	""	""	""
"455"	"Till Last Round"	""	"10336"	""	"42833"	""	"1768"	""	"5376"	""	"43306"	""	""	""	"1263"	""	""	"650"	""	""	""	"986"	""	""	"550"	""	"503"	""	""	"541"	""	""	"1871"	""	""	"2579"	""	""	"112562"	""	"0"	""	"112562"	""	""	"0"	""	""	""	""
"456"	"Grand Total"	""	"10607"	""	"44420"	""	"1836"	""	"5521"	""	"44999"	""	""	""	"1305"	""	""	"673"	""	""	""	"1014"	""	""	"575"	""	"521"	""	""	"564"	""	""	"1959"	""	""	"2675"	""	""	"116669"	""	"0"	""	"116669"	""	""	"0"	""	""	""	""
"457"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"458"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"460"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"461"	"579"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
