"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"284"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"141"	""	""	"260"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"54"	""	""	""	"102"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"142"	""	""	"184"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"169"	""	""	""	"34"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	"21"	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"143"	""	""	"55"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"78"	""	""	""	"154"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"144"	""	""	"22"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"357"	""	""	""	"103"	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"145"	""	""	"28"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"279"	""	""	""	"24"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"146"	""	""	"8"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"173"	""	""	""	"28"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	""	"222"	""	""	""	""	""	""	""	""	"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"147"	""	""	"19"	""	""	""	""	"10"	""	""	""	"16"	""	""	""	"76"	""	""	""	"193"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"15"	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"148"	""	""	"45"	""	""	""	""	"5"	""	""	""	"9"	""	""	""	"92"	""	""	""	"55"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"149"	""	""	"122"	""	""	""	""	"8"	""	""	""	"12"	""	""	""	"117"	""	""	""	"254"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	"15"	""	""	""	""	""	"546"	""	""	""	""	""	""	""	""	"546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"150"	""	""	"104"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"215"	""	""	""	"215"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"151"	""	""	"208"	""	""	""	""	"7"	""	""	""	"7"	""	""	""	"242"	""	""	""	"92"	""	""	""	""	"16"	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	"14"	""	""	""	""	""	"599"	""	""	""	""	""	""	""	""	"599"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"152"	""	""	"86"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"290"	""	""	""	"62"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"26"	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Total"	""	""	"1141"	""	""	""	""	"55"	""	""	""	"71"	""	""	""	"2142"	""	""	""	"1316"	""	""	""	""	"95"	""	""	""	""	"27"	""	""	""	""	""	""	"35"	""	""	""	""	"137"	""	""	""	""	""	"5019"	""	""	""	"0"	""	""	""	""	"5019"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Till last round"	""	""	"14403"	""	""	""	""	"734"	""	""	""	"1888"	""	""	""	"24699"	""	""	""	"15852"	""	""	""	""	"1085"	""	""	""	""	"460"	""	""	""	""	""	""	"440"	""	""	""	""	"1764"	""	""	""	""	""	"61325"	""	""	""	"0"	""	""	""	""	"61325"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Grand Total"	""	""	"15544"	""	""	""	""	"789"	""	""	""	"1959"	""	""	""	"26841"	""	""	""	"17168"	""	""	""	""	"1180"	""	""	""	""	"487"	""	""	""	""	""	""	"475"	""	""	""	""	"1901"	""	""	""	""	""	"66344"	""	""	""	"0"	""	""	""	""	"66344"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""
"312"	"Serial no. of polling
station"	""	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"153"	""	""	""	"127"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"185"	""	""	""	"51"	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"154"	""	""	""	"80"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	"213"	""	""	""	"175"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"17"	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"155"	""	""	""	"85"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"158"	""	""	""	"47"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"156"	""	""	""	"92"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"322"	""	""	""	"61"	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"157"	""	""	""	"128"	""	""	""	""	"5"	""	""	""	"10"	""	""	""	"114"	""	""	""	"207"	""	""	""	""	"15"	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"13"	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"158"	""	""	""	"42"	""	""	""	""	"6"	""	""	""	"21"	""	""	""	"106"	""	""	""	"229"	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	"24"	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"159"	""	""	""	"62"	""	""	""	""	"2"	""	""	""	"25"	""	""	""	"60"	""	""	""	"138"	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"160"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	"2"	""	""	""	"197"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	"214"	""	""	""	""	""	""	""	""	""	"214"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"161"	""	""	""	"103"	""	""	""	""	"10"	""	""	""	"23"	""	""	""	"232"	""	""	""	"70"	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"162"	""	""	""	"50"	""	""	""	""	"7"	""	""	""	"15"	""	""	""	"73"	""	""	""	"255"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"163"	""	""	""	"13"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"61"	""	""	""	"12"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"91"	""	""	""	""	""	""	""	""	""	"91"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"164"	""	""	""	"74"	""	""	""	""	"4"	""	""	""	"40"	""	""	""	"201"	""	""	""	"92"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total"	""	""	""	"860"	""	""	""	""	"50"	""	""	""	"154"	""	""	""	"1727"	""	""	""	"1534"	""	""	""	""	"76"	""	""	""	""	""	"31"	""	""	""	""	""	"26"	""	""	""	""	""	"105"	""	""	""	""	"4563"	""	""	""	""	"0"	""	""	""	""	"4563"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"326"	"Till last round"	""	""	""	"-15544"	""	""	""	""	"-789"	""	""	""	"-1959"	""	""	""	"-26841"	""	""	""	"-17168"	""	""	""	""	"-1180"	""	""	""	""	""	"-487"	""	""	""	""	""	"-475"	""	""	""	""	""	"-1901"	""	""	""	""	"-66344"	""	""	""	""	"0"	""	""	""	""	"-66344"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"327"	"Grand Total"	""	""	""	"16404"	""	""	""	""	"839"	""	""	""	"2113"	""	""	""	"28568"	""	""	""	"18702"	""	""	""	""	"1256"	""	""	""	""	""	"518"	""	""	""	""	""	"501"	""	""	""	""	""	"2006"	""	""	""	""	"70907"	""	""	""	""	"0"	""	""	""	""	"70907"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"328"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	""	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Serial no. of polling
station"	""	""	""	""	"Bhai
Birendra"	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"165"	""	""	""	""	"32"	""	""	""	"0"	""	""	""	"10"	""	""	""	"51"	""	""	""	"152"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"166"	""	""	""	""	"72"	""	""	""	"0"	""	""	""	"3"	""	""	""	"151"	""	""	""	"260"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"17"	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"167"	""	""	""	""	"67"	""	""	""	"2"	""	""	""	"7"	""	""	""	"202"	""	""	""	"231"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"168"	""	""	""	""	"85"	""	""	""	"13"	""	""	""	"74"	""	""	""	"84"	""	""	""	"192"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	"15"	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"169"	""	""	""	""	"89"	""	""	""	"7"	""	""	""	"24"	""	""	""	"114"	""	""	""	"270"	""	""	""	""	"15"	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	"21"	""	""	""	""	""	"554"	""	""	""	""	""	""	""	""	""	"554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"170"	""	""	""	""	"57"	""	""	""	"1"	""	""	""	"66"	""	""	""	"127"	""	""	""	"198"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	"16"	""	""	""	""	""	"478"	""	""	""	""	""	""	""	""	""	"478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"171"	""	""	""	""	"51"	""	""	""	"0"	""	""	""	"7"	""	""	""	"56"	""	""	""	"92"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	""	"217"	""	""	""	""	""	""	""	""	""	"217"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"172"	""	""	""	""	"57"	""	""	""	"2"	""	""	""	"13"	""	""	""	"218"	""	""	""	"133"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"173"	""	""	""	""	"56"	""	""	""	"1"	""	""	""	"13"	""	""	""	"175"	""	""	""	"146"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"173A"	""	""	""	""	"25"	""	""	""	"0"	""	""	""	"6"	""	""	""	"63"	""	""	""	"198"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"174"	""	""	""	""	"72"	""	""	""	"99"	""	""	""	"8"	""	""	""	"202"	""	""	""	"162"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	""	""	"570"	""	""	""	""	""	""	""	""	""	"570"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"175"	""	""	""	""	"91"	""	""	""	"3"	""	""	""	"9"	""	""	""	"194"	""	""	""	"227"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Total"	""	""	""	""	"754"	""	""	""	"128"	""	""	""	"240"	""	""	""	"1637"	""	""	""	"2261"	""	""	""	""	"69"	""	""	""	""	"39"	""	""	""	""	""	""	"25"	""	""	""	""	"122"	""	""	""	""	""	"5275"	""	""	""	""	"0"	""	""	""	""	"5275"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"348"	"Till last round"	""	""	""	""	"-16404"	""	""	""	"-839"	""	""	""	"-2113"	""	""	""	"-28568"	""	""	""	"-18702"	""	""	""	""	"-1256"	""	""	""	""	"-518"	""	""	""	""	""	""	"-501"	""	""	""	""	"-2006"	""	""	""	""	""	"-70907"	""	""	""	""	"0"	""	""	""	""	"-70907"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"349"	"Grand Total"	""	""	""	""	"17158"	""	""	""	"967"	""	""	""	"2353"	""	""	""	"30205"	""	""	""	"20963"	""	""	""	""	"1325"	""	""	""	""	"557"	""	""	""	""	""	""	"526"	""	""	""	""	"2128"	""	""	""	""	""	"76182"	""	""	""	""	"0"	""	""	""	""	"76182"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"350"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
