"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"66"	"25"	""	"15"	""	""	"224"	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"254"	""	""	""	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"25A"	""	"45"	""	""	"266"	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"7"	""	""	""	"337"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"26"	""	"27"	""	""	"422"	""	""	"2"	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	"18"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"482"	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"27"	""	"16"	""	""	"297"	""	""	"2"	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"325"	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"28"	""	"30"	""	""	"252"	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"293"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"29"	""	"16"	""	""	"195"	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"220"	""	""	""	""	""	""	"220"	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"29A"	""	"44"	""	""	"206"	""	""	"5"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"2"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"4"	""	""	""	"272"	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"30"	""	"36"	""	""	"241"	""	""	"3"	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"293"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Total"	""	"469"	""	""	"3815"	""	""	"25"	""	""	""	"74"	""	""	""	""	""	"15"	""	""	""	"93"	""	""	""	""	"9"	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	""	"8"	""	""	""	"3"	""	""	"9"	""	""	"38"	""	""	""	"4582"	""	""	""	""	""	""	"4582"	""	""	""	"0"	""	""	""	""	""	""	""	""
"75"	"Till Last Round"	""	"3232"	""	""	"4780"	""	""	"53"	""	""	""	"158"	""	""	""	""	""	"106"	""	""	""	"149"	""	""	""	""	"19"	""	""	"11"	""	""	""	""	"32"	""	""	""	""	"31"	""	""	""	""	"17"	""	""	""	"16"	""	""	"27"	""	""	"83"	""	""	""	"8714"	""	""	""	""	"0"	""	"8714"	""	""	""	"0"	""	""	""	""	""	""	""	""
"76"	"Grand Total"	""	"3701"	""	""	"8595"	""	""	"78"	""	""	""	"232"	""	""	""	""	""	"121"	""	""	""	"242"	""	""	""	""	"28"	""	""	"16"	""	""	""	""	"39"	""	""	""	""	"43"	""	""	""	""	"25"	""	""	""	"19"	""	""	"36"	""	""	"121"	""	""	""	"13296"	""	""	""	""	"0"	""	"13296"	""	""	""	"0"	""	""	""	""	""	""	""	""
"77"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 189 - PATNA CENTRAL  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"(To be used both for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"ROUND-4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"89"	"Serial no. of polling station"	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	"Sidhnah Rai"	""	""	""	""	""	"Amit Kumar Albela"	""	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"30A"	"15"	""	"223"	""	""	""	"1"	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	""	"261"	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"31"	"41"	""	"174"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	"3"	""	""	""	"226"	""	""	""	""	""	""	"226"	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"31A"	"105"	""	"211"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"339"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"32"	"34"	""	"145"	""	""	""	"0"	""	""	"15"	""	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"212"	""	""	""	""	""	""	"212"	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"32A"	"71"	""	"228"	""	""	""	"4"	""	""	"13"	""	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"337"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"33"	"114"	""	"248"	""	""	""	"6"	""	""	"25"	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"411"	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"34"	"58"	""	"366"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	""	"441"	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"35"	"205"	""	"114"	""	""	""	"3"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	""	"342"	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"36"	"234"	""	"148"	""	""	""	"0"	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"0"	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	"5"	""	""	""	"414"	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"37"	"201"	""	"56"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"37A"	"44"	""	"144"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"195"	""	""	""	""	""	""	"195"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"38"	"34"	""	"196"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	"3"	""	""	""	"251"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"39"	"39"	""	"303"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	""	"361"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"39A"	"38"	""	"236"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"292"	""	""	""	""	""	""	"292"	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Total"	"1233"	""	"2792"	""	""	""	"21"	""	""	"101"	""	""	""	""	""	"30"	""	""	""	""	"67"	""	""	""	"9"	""	""	""	"8"	""	""	"10"	""	""	""	""	"9"	""	""	""	""	""	"14"	""	""	""	"13"	""	""	""	"11"	""	""	"29"	""	""	""	"4347"	""	""	""	""	""	""	"4347"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"105"	"Till Last Round"	"-3701"	""	"-8595"	""	""	""	"-78"	""	""	"-232"	""	""	""	""	""	"-121"	""	""	""	""	"-242"	""	""	""	"-28"	""	""	""	"-16"	""	""	"-39"	""	""	""	""	"-43"	""	""	""	""	""	"-25"	""	""	""	"-19"	""	""	""	"-36"	""	""	"-121"	""	""	""	"-13296"	""	""	"0"	""	""	""	"-13296"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"106"	"Grand Total"	"4934"	""	"11387"	""	""	""	"99"	""	""	"333"	""	""	""	""	""	"151"	""	""	""	""	"309"	""	""	""	"37"	""	""	""	"24"	""	""	"49"	""	""	""	""	"52"	""	""	""	""	""	"39"	""	""	""	"32"	""	""	""	"47"	""	""	"150"	""	""	""	"17643"	""	""	"0"	""	""	""	"17643"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"107"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"112"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"40"	""	"20"	""	"203"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"232"	""	""	""	""	""	""	"232"	""	""	""	""	""	""	""	""	""	""	""
"114"	"40A"	""	"17"	""	"256"	""	""	""	"3"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"285"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""
"115"	"41"	""	"32"	""	"242"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"289"	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""
"116"	"41A"	""	"30"	""	"268"	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"313"	""	""	""	""	""	""	"313"	""	""	""	""	""	""	""	""	""	""	""
"117"	"42"	""	"80"	""	"225"	""	""	""	"1"	""	""	"23"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	"6"	""	""	""	"6"	""	""	""	"350"	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""
"118"	"42A"	""	"18"	""	"296"	""	""	""	"1"	""	""	"9"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"334"	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""	""
"119"	"43"	""	"43"	""	"257"	""	""	""	"2"	""	""	"39"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"12"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"366"	""	""	""	""	""	""	"366"	""	""	""	""	""	""	""	""	""	""	""
"120"	"43A"	""	"31"	""	"210"	""	""	""	"0"	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"266"	""	""	""	""	""	""	"266"	""	""	""	""	""	""	""	""	""	""	""
"121"	"44"	""	"45"	""	"250"	""	""	""	"0"	""	""	"37"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	""	"351"	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""
"122"	"44A"	""	"41"	""	"240"	""	""	""	"2"	""	""	"21"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"310"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""
"123"	"45"	""	"24"	""	"308"	""	""	""	"7"	""	""	"16"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"367"	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""
"124"	"46"	""	"39"	""	"371"	""	""	""	"1"	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	"15"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"450"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""
"125"	"47"	""	"23"	""	"391"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"432"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""
"126"	"48"	""	"54"	""	"341"	""	""	""	"0"	""	""	"18"	""	""	""	""	""	"18"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	"5"	""	""	""	"448"	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	""	""	""
"127"	"Total"	""	"497"	""	"3858"	""	""	""	"21"	""	""	"212"	""	""	""	""	""	"31"	""	""	""	""	"69"	""	""	""	"8"	""	""	""	"8"	""	""	""	"4"	""	""	""	""	""	"29"	""	""	""	""	"1"	""	""	"10"	""	""	""	"14"	""	""	""	"31"	""	""	""	"4793"	""	""	""	""	""	""	"4793"	""	""	""	"0"	""	""	""	""	""	""	""
"128"	"Till Last Round"	""	"4934"	""	"11387"	""	""	""	"99"	""	""	"333"	""	""	""	""	""	"151"	""	""	""	""	"309"	""	""	""	"37"	""	""	""	"24"	""	""	""	"49"	""	""	""	""	""	"52"	""	""	""	""	"39"	""	""	"32"	""	""	""	"47"	""	""	""	"150"	""	""	""	"17643"	""	""	""	"0"	""	""	"17643"	""	""	""	"0"	""	""	""	""	""	""	""
"129"	"Grand Total"	""	"5431"	""	"15245"	""	""	""	"120"	""	""	"545"	""	""	""	""	""	"182"	""	""	""	""	"378"	""	""	""	"45"	""	""	""	"32"	""	""	""	"53"	""	""	""	""	""	"81"	""	""	""	""	"40"	""	""	"42"	""	""	""	"61"	""	""	""	"181"	""	""	""	"22436"	""	""	""	"0"	""	""	"22436"	""	""	""	"0"	""	""	""	""	""	""	""
"130"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
