"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"41"	"13"	""	"26"	""	""	"20"	""	"243"	""	""	"19"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"316"	""	""	""	""	""	"0"	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"14"	""	"27"	""	""	"7"	""	"196"	""	""	"8"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"254"	""	""	""	""	""	"0"	""	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Total"	""	""	""	""	"167"	""	"2557"	""	""	"434"	""	""	""	"80"	""	""	""	""	"50"	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	"75"	""	""	""	""	""	"3927"	""	""	""	""	""	"0"	""	""	""	""	"3927"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Date   22-11-2005                                                                                                                                                                                                         Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Round No. …        3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendere d  votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"1"	""	"28"	""	""	"3"	""	"81"	""	""	"7"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"94"	""	""	""	""	""	"0"	""	""	""	""	""	"94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"2"	""	"29"	""	""	"13"	""	"283"	""	""	"20"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"354"	""	""	""	""	""	"0"	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"3"	""	"30"	""	""	"5"	""	"106"	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"67"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"202"	""	""	""	""	""	"0"	""	""	""	""	""	"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"4"	""	"31"	""	""	"6"	""	"271"	""	""	"7"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"292"	""	""	""	""	""	"0"	""	""	""	""	""	"292"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"5"	""	"31A"	""	""	"9"	""	"209"	""	""	"8"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"263"	""	""	""	""	""	"0"	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"6"	""	"32"	""	""	"6"	""	"192"	""	""	"7"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"250"	""	""	""	""	""	"0"	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"7"	""	"32A"	""	""	"1"	""	"147"	""	""	"10"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"194"	""	""	""	""	""	"0"	""	""	""	""	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"8"	""	"33"	""	""	"27"	""	"223"	""	""	"17"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"104"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"393"	""	""	""	""	""	"0"	""	""	""	""	""	"393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"9"	""	"34"	""	""	"3"	""	"387"	""	""	"11"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"443"	""	""	""	""	""	"0"	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"10"	""	"35"	""	""	"20"	""	"434"	""	""	"22"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"530"	""	""	""	""	""	"0"	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"11"	""	"36"	""	""	"5"	""	"164"	""	""	"8"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"122"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"312"	""	""	""	""	""	"0"	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"12"	""	"37"	""	""	"10"	""	"114"	""	""	"27"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"242"	""	""	""	""	""	"0"	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"13"	""	"38"	""	""	"15"	""	"233"	""	""	"24"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"370"	""	""	""	""	""	"0"	""	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"14"	""	"39"	""	""	"4"	""	"18"	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	""	"124"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"176"	""	""	""	""	""	"0"	""	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Total"	""	""	""	""	"127"	""	"2862"	""	""	"172"	""	""	""	"25"	""	""	""	""	"21"	""	""	""	""	"22"	""	""	""	""	""	""	"695"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	"70"	""	""	""	""	""	""	"4115"	""	""	""	""	""	"0"	""	""	""	""	""	"4115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Round No. …       4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendere d  votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"1"	""	"40"	""	""	"21"	""	"234"	""	""	"10"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"330"	""	""	""	""	""	"0"	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"2"	""	"41"	""	""	"1"	""	"120"	""	""	"7"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"63"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"208"	""	""	""	""	""	"0"	""	""	""	""	""	"208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"3"	""	"42"	""	""	"10"	""	"76"	""	""	"6"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"152"	""	""	""	""	""	"0"	""	""	""	""	""	"152"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"4"	""	"43"	""	""	"19"	""	"213"	""	""	"28"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"148"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"433"	""	""	""	""	""	"0"	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"5"	""	"44"	""	""	"7"	""	"188"	""	""	"24"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"96"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"325"	""	""	""	""	""	"0"	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"6"	""	"45"	""	""	"10"	""	"170"	""	""	"80"	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"303"	""	""	""	""	""	"0"	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"7"	""	"46"	""	""	"22"	""	"217"	""	""	"9"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"110"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	"404"	""	""	""	""	""	"0"	""	""	""	""	""	"404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"8"	""	"47"	""	""	"11"	""	"212"	""	""	"9"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"298"	""	""	""	""	""	"0"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"9"	""	"48"	""	""	"18"	""	"112"	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"94"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"237"	""	""	""	""	""	"0"	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"10"	""	"49"	""	""	"3"	""	"313"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"324"	""	""	""	""	""	"0"	""	""	""	""	""	"324"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
